Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
CGY	"[""CGY"", ""ET""]"	nGNX3K8GtJ	2026-05-25 06:00:00	Calian Announces ATHORA™ to Accelerate Sovereign Defence Capability in Canada	Globe Newswire		TSX	2026-05-25 06:00:00.197320	0.7187	0.0181	0.2633	0.7006	positive	NO:Float
ET	"[""CGY"", ""ET""]"	nGNX3K8GtJ	2026-05-25 06:00:00	Calian Announces ATHORA™ to Accelerate Sovereign Defence Capability in Canada	Globe Newswire	3010.0	TSX	2026-05-25 06:00:00.197665	0.7187	0.0181	0.2633	0.7006	positive	NO:Float
VFS	"[""VFS""]"	nBw9DVp42a	2026-05-25 06:00:00	The VinFast VF 8 Eco Proves “Standard Trim” No Longer Means Compromise	Business Wire	49.63	NASDAQ	2026-05-25 06:00:00.322868	0.1665	0.0333	0.8002	0.1333	positive	NO:sentiment_score
BN	"[""BN""]"	nGNX65k3DV	2026-05-25 06:45:00	Brookfield Corporation Announces Renewal of Normal Course Issuer Bid	Globe Newswire	1780.0	TSX	2026-05-25 06:45:00.193802	0.1515	0.0429	0.8056	0.1086	positive	NO:sentiment_score,Float
KLAR	"[""KLAR""]"	nWkr2m9RTk	2026-05-25 06:51:43	Summons to the Annual General Meeting of Klaria Pharma Holding AB (publ)	Cision	140.46	NASDAQ STOCKHOLM	2026-05-25 06:51:43.243975	0.0782	0.0262	0.8955	0.052	positive	NO:sentiment_score,Float
TFPM	"[""TFPM""]"	nBw3NlNHa	2026-05-25 06:59:00	Triple Flag Announces Increase in Credit Facility at Improved Terms	Business Wire	202.64	TSX	2026-05-25 06:59:00.176094	0.7423	0.0595	0.1982	0.6828	positive	NO:sentiment_score,Float
PPL	"[""PPL""]"	nBwmHr6Ra	2026-05-25 07:00:00	Pembina Pipeline Sanctions Heartland Extraction Plant Strengthening its Leading NGL Franchise	Business Wire	750.94	TSX	2026-05-25 07:00:00.304538	0.9177	0.0293	0.0529	0.8884	positive	NO:Float
JG	"[""JG""]"	nGNX47RBjr	2026-05-25 07:00:00	"Aurora Mobile's EngageLab Launches Scalable ""Unlimited Support Agents"" Conversational Sales Solution to Redefine B2B Growth"	Globe Newswire	4.31	NASDAQ	2026-05-25 07:00:00.490746	0.4931	0.0097	0.4972	0.4834	positive	NO:sentiment_score
PHR	"[""PHR""]"	nACSjVTSga	2026-05-25 07:00:03	PHR SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Phreesia, Inc. Shareholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	46.89	NYSE	2026-05-25 07:00:03.737322	0.1516	0.3549	0.4936	-0.2033	negative	NO:sentiment_score
FCHL	"[""FCHL""]"	nACSyXt2xa	2026-05-25 07:00:05	FCHL SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Stockholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.38	NASDAQ	2026-05-25 07:00:05.508137	0.1192	0.3268	0.554	-0.2076	negative	NO:sentiment_score
TRAD	"[""TRAD""]"	nWkr2McXc8	2026-05-25 08:00:01	Tradedoubler buy-backs of own shares	Cision	11.81	NASDAQ STOCKHOLM	2026-05-25 08:00:01.484532	0.1526	0.0542	0.7932	0.0984	positive	NO:sentiment_score
RACE	"[""RACE""]"	nGNE8xDHWd	2026-05-25 08:18:54	FERRARI N.V.: PERIODIC REPORT ON THE BUYBACK PROGRAM	Globe Newswire	124.47	BORSA ITALIANA	2026-05-25 08:18:54.622547	0.0629	0.0442	0.893	0.0187	neutral	NO:sentiment_score,Float
WTF	"[""WTF""]"	nGNXbCK5l	2026-05-25 08:30:00	Waton Financial Limited Launches Limited Access to Beta Version of MoTA	Globe Newswire	6.26	NASDAQ	2026-05-25 08:30:00.177370	0.0631	0.0331	0.9037	0.03	neutral	NO:sentiment_score
MSS	"[""MSS""]"	nACS5kk91a	2026-05-25 09:00:00	Alexandria Marie Lopez of Maison Solutions Inc. Named 2026 LA Executive Awards Nominee	ACCESSWIRE	1.43	NASDAQ	2026-05-25 09:00:00.933598	0.1165	0.0463	0.8372	0.0702	positive	NO:sentiment_score
SMID	"[""SMID""]"	nBw39rJWJa	2026-05-25 09:27:00	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	LSE	2026-05-25 09:27:00.154270	0.0738	0.0729	0.8534	0.0009	neutral	NO:sentiment_score
