Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
KEEL	"[""KEEL""]"	nGNXbczvPd	2026-06-05 02:00:00.724	Keel Infrastructure Announces Pricing of Upsized $400 Million of Convertible Senior Notes	Globe Newswire	600.84	NASDAQ	2026-06-05 02:00:00.743833	0.2103	0.0235	0.7662	0.1869	positive	0.2721	0.374	0.1636	0.6201	0.1868	2026-06-05 02:00:01.511645	NO:sentiment_score,Float
IHG	"[""IHG""]"	nACS14x4Ha	2026-06-05 02:00:01.444	InterContinental Hotels Group PLC Announces Transaction in Own Shares - June 05	ACCESSWIRE	148.67	LSE	2026-06-05 02:00:01.463549	0.068	0.0222	0.9098	0.0459	neutral	0.558	0.1814	0.0685	0.2381	0.0594	2026-06-05 02:00:01.815796	NO:sentiment_score,Float
SES	"[""SES""]"	nPn7gvJXta	2026-06-05 02:31:00.396	SES Investors Have Opportunity to Lead SES AI Corporation Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	235.77	NYSE	2026-06-05 02:31:00.425106	0.2281	0.0485	0.7234	0.1796	positive	-0.2502	-0.2521	-0.1093	-0.2818	-0.0927	2026-06-05 02:31:00.741591	NO:sentiment_score,Float,excluded_string
FSK	"[""FSK""]"	nPn53LbzVa	2026-06-05 02:32:00.230	FSK Investors Have Opportunity to Lead FS KKR Capital Corp. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	279.18	NYSE	2026-06-05 02:32:00.255727	0.2642	0.0422	0.6936	0.222	positive	-0.2457	-0.2834	-0.1271	-0.2002	-0.0901	2026-06-05 02:32:00.604918	NO:sentiment_score,Float,excluded_string
GPK	"[""GPK""]"	nPn50jPPGa	2026-06-05 02:46:00.249	GPK Investors Have Opportunity to Lead Graphic Packaging Holding Company Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	291.25	NYSE	2026-06-05 02:46:00.274520	0.26	0.0514	0.6885	0.2086	positive	-0.2638	-0.2904	-0.1227	-0.0538	-0.095	2026-06-05 02:46:00.626089	NO:sentiment_score,Float,excluded_string
PHR	"[""PHR""]"	nPnCDz1na	2026-06-05 02:51:00.246	PHR Investors Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	48.96	NYSE	2026-06-05 02:51:00.277224	0.182	0.0412	0.7768	0.1408	positive	-0.1335	-0.0815	-0.0533	0.2466	-0.0447	2026-06-05 02:51:00.600050	NO:sentiment_score,excluded_string
GILD	"[""GILD""]"	nBw371mmKa	2026-06-05 03:00:00.360	Gilead Applauds Collaborative Efforts to Launch Lenacapavir for HIV Prevention in South Africa	Business Wire	1240.0	NASDAQ	2026-06-05 03:00:00.382536	0.8968	0.0125	0.0907	0.8843	positive	0.5677	0.625	0.5292	0.8177	0.5776	2026-06-05 03:00:00.746328	NO:Float
STI	"[""STI""]"	nPNAlDtkMa	2026-06-05 03:00:00.773	Solidion Technology's 30+ Patents for Space-Based Artificial Intelligence Batteries Include the Highest-Performing Patented Lithium Anode Protection Technology	PR Newswire	2.47	NASDAQ	2026-06-05 03:00:00.824275	0.5736	0.0136	0.4128	0.5599	positive	0.3286	0.3673	0.1723	0.6836	0.2581	2026-06-05 03:00:01.554221	YES
SHEL	"[""SHEL""]"	nGNE4rTLXr	2026-06-05 03:26:03.843	REG-Transaction in Own Shares	Globe Newswire	2790.0	LSE	2026-06-05 03:26:03.864406	0.0526	0.0227	0.9248	0.0299	neutral	0.0721	0.0562	0.0491	0.0807	0.0495	2026-06-05 03:26:04.226239	NO:sentiment_score,Float
SES	"[""SES""]"	nPn86bRNNa	2026-06-05 03:37:00.306	SES AI Corporation Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - SES	PR Newswire	235.77	NYSE	2026-06-05 03:37:00.334019	0.1032	0.126	0.7708	-0.0228	neutral	-0.0281	-0.0511	-0.0046	0.1951	-0.0234	2026-06-05 03:37:00.651660	NO:sentiment_score,Float
FSK	"[""FSK""]"	nPn4H6Rgfa	2026-06-05 03:43:00.239	FS KKR Capital Corp. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - FSK	PR Newswire	279.18	NYSE	2026-06-05 03:43:00.270805	0.1538	0.0971	0.7491	0.0567	positive	-0.2014	-0.2869	-0.0862	0.1829	-0.1114	2026-06-05 03:43:00.581923	NO:sentiment_score,Float
GPK	"[""GPK""]"	nPn2vy0Jpa	2026-06-05 03:44:00.194	Graphic Packaging Holding Company Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - GPK	PR Newswire	291.25	NYSE	2026-06-05 03:44:00.215773	0.1054	0.0435	0.8511	0.0619	positive	-0.0555	-0.0554	-0.0118	0.1009	-0.0305	2026-06-05 03:44:00.534545	NO:sentiment_score,Float
PHR	"[""PHR""]"	nPn7CLV0Da	2026-06-05 03:47:00.281	Phreesia, Inc. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - PHR	PR Newswire	48.96	NYSE	2026-06-05 03:47:00.310437	0.1225	0.0861	0.7914	0.0364	neutral	0.0704	0.1272	0.0485	0.5032	0.0308	2026-06-05 03:47:00.632475	NO:sentiment_score
