Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
GPK	"[""GPK""]"	nACSw9pyca	2026-06-07 07:00:25.723	GPK INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Graphic Packaging Holding Company Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	291.25	NYSE	2026-06-07 07:00:25.759970	0.1845	0.2698	0.5457	-0.0853	negative	-0.1697	-0.2661	-0.0984	-0.0471	-0.1317	2026-06-07 07:00:26.606624	NO:sentiment_score,Float
FCHL	"[""FCHL""]"	nACSy3LNla	2026-06-07 07:00:25.659	FCHL INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Reminds Investors of Fitness Champs Holdings Ltd. to Contact the Firm Today!	ACCESSWIRE	0.4	NASDAQ	2026-06-07 07:00:25.763058	0.1382	0.0414	0.8204	0.0969	positive	-0.065	-0.0881	-0.0237	0.2231	-0.0658	2026-06-07 07:00:26.679697	YES
SES	"[""SES""]"	nACS2448ha	2026-06-07 07:00:27.185	SES INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that SES AI Corporation Stockholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	235.77	NYSE	2026-06-07 07:00:27.219659	0.2425	0.1769	0.5807	0.0656	positive	-0.0594	-0.1327	-0.0235	0.2233	-0.0869	2026-06-07 07:00:27.678474	NO:Float
FSK	"[""FSK""]"	nACSX3PZHa	2026-06-07 07:00:28.639	FSK SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that FS KKR Capital Corp. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	279.18	NYSE	2026-06-07 07:00:28.680070	0.2051	0.1616	0.6333	0.0434	neutral	0.0419	0.0494	0.0394	0.3341	-0.011	2026-06-07 07:00:29.188828	NO:Float
PHR	"[""PHR""]"	nACS52J6ya	2026-06-07 07:00:28.852	PHR INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Phreesia, Inc.  Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	48.96	NYSE	2026-06-07 07:00:28.935316	0.2016	0.2017	0.5967	-0.0001	neutral	0.0224	-0.0084	0.0211	0.3341	-0.0366	2026-06-07 07:00:29.594327	NO:sentiment_score
STLA	"[""STLA"", ""STLAM""]"	nACS5Yg8La	2026-06-07 07:00:28.890	STLA DEADLINE REMINDER: Bronstein, Gewirtz & Grossman LLC Reminds Stellantis N.V. Investors to Join the Class Action Lawsuit Today	ACCESSWIRE	2020.0	NYSE	2026-06-07 07:00:28.982177	0.2449	0.1389	0.6161	0.106	positive	0.0098	-0.0214	0.0168	0.3341	-0.0363	2026-06-07 07:00:30.084615	NO:Float
STLAM	"[""STLA"", ""STLAM""]"	nACS5Yg8La	2026-06-07 07:00:28.890	STLA DEADLINE REMINDER: Bronstein, Gewirtz & Grossman LLC Reminds Stellantis N.V. Investors to Join the Class Action Lawsuit Today	ACCESSWIRE		NYSE	2026-06-07 07:00:28.982616	0.2449	0.1389	0.6161	0.106	positive	0.15	0.1652	0.1009	0.3341	0.0604	2026-06-07 07:00:30.084737	NO:Float
ZTS	"[""ZTS""]"	nACS3dfmHa	2026-06-07 07:00:29.858	ZTS INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Zoetis Inc. Shareholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	416.84	NYSE	2026-06-07 07:00:29.912230	0.1522	0.2249	0.623	-0.0727	negative	-0.0127	-0.0839	0.0119	0.3341	-0.0528	2026-06-07 07:00:30.431225	NO:sentiment_score,Float
WSE	"[""WSE"", ""WISEA""]"	nNFC9pgfD1	2026-06-07 07:16:12.277	ROSEN, RECOGNIZED INVESTOR COUNSEL, Encourages Wise Group plc Investors to Inquire About Securities Class Action Investigation - WSE	Newsfile Corp	781.47	NASDAQ	2026-06-07 07:16:12.309607	0.1609	0.0288	0.8103	0.1321	positive	0.116	0.0737	0.0962	0.539	0.0298	2026-06-07 07:16:12.910885	NO:Float,excluded_string
WISEA	"[""WSE"", ""WISEA""]"	nNFC9pgfD1	2026-06-07 07:16:12.277	ROSEN, RECOGNIZED INVESTOR COUNSEL, Encourages Wise Group plc Investors to Inquire About Securities Class Action Investigation - WSE	Newsfile Corp		NASDAQ	2026-06-07 07:16:12.310846	0.1609	0.0288	0.8103	0.1321	positive	0.1472	0.1025	0.1181	0.539	0.0686	2026-06-07 07:16:12.911021	NO:Float,excluded_string
INTU	"[""INTU""]"	nACSHTVsga	2026-06-07 07:17:00.672	$INTU Fraud Reminder: Intuit Investors Notified to Protect Your Rights in Securities Fraud Investigation After Pricing Issues Spark 20% Stock Drop	ACCESSWIRE	267.63	NASDAQ	2026-06-07 07:17:00.697145	0.3514	0.1103	0.5383	0.2411	positive	-0.273	-0.3564	-0.1554	0.4457	-0.2013	2026-06-07 07:17:01.635812	NO:Float
MAX	"[""MAX""]"	nACS6LP3ca	2026-06-07 07:17:00.828	$MAX Inquiry Reminder: Current MediaAlpha Shareholders Notified to Protect Your Rights in Connection with BFA's Pending Investigation into the FTC Settlement	ACCESSWIRE	28.6	NYSE	2026-06-07 07:17:00.856852	0.2548	0.0878	0.6574	0.1671	positive	-0.0296	-0.0391	-0.0126	0.3138	-0.053	2026-06-07 07:17:01.792662	YES
SES	"[""SES""]"	nNFC4rZ3DS	2026-06-07 08:34:12.772	SES UPCOMING DEADLINE: Faruqi & Faruqi, LLP Reminds SES AI Corporation (SES) Investors of Securities Class Action Deadline on June 26, 2026	Newsfile Corp	235.77	NYSE	2026-06-07 08:34:12.792470	0.0834	0.0664	0.8503	0.017	neutral	-0.1182	-0.2715	-0.0582	0.258	-0.0282	2026-06-07 08:34:13.337118	NO:Float
PHR	"[""PHR""]"	nNFCbDYLs	2026-06-07 08:44:12.657	PHR UPCOMING DEADLINE: Faruqi & Faruqi, LLP Reminds Phreesia (PHR) Investors of Securities Class Action Deadline on July 13, 2026	Newsfile Corp	48.96	NYSE	2026-06-07 08:44:12.692427	0.0902	0.069	0.8408	0.0213	neutral	-0.1499	-0.3135	-0.0782	0.255	-0.0469	2026-06-07 08:44:13.318451	YES
FSK	"[""FSK""]"	nACSZY2ZSa	2026-06-07 09:00:00.635	ROSEN, NATIONAL INVESTOR COUNSEL, Encourages FS KKR Capital Corp. Investors to Secure Counsel Before Important Deadline in Securities Class Action - FSK	ACCESSWIRE	279.18	NYSE	2026-06-07 09:00:00.653987	0.1535	0.0587	0.7878	0.0948	positive	0.2243	0.2642	0.1437	0.539	0.0908	2026-06-07 09:00:01.017682	NO:Float,excluded_string
SES	"[""SES""]"	nNFC9v7fg5	2026-06-07 09:14:12.185	SES AI DEADLINE: ROSEN, RECOGNIZED INVESTOR COUNSEL, Encourages SES AI Corporation Investors with Losses in Excesses of $100K to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - SES	Newsfile Corp	235.77	NYSE	2026-06-07 09:14:12.221962	0.2414	0.0353	0.7233	0.2061	positive	0.1953	0.2348	0.1374	0.4716	0.0925	2026-06-07 09:14:12.573245	NO:Float,excluded_string
