Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
PLTR	"[""PLTR""]"	nBw764QNha	2026-06-04 06:59:00.413	Palantir and Kirkland & Ellis Partner to Transform Private Equity Fundraising with Exclusive AI-Powered Fund Enterprise Platform	Business Wire	2190.0	NASDAQ	2026-06-04 06:59:00.459505	0.3074	0.0098	0.6828	0.2975	positive	0.3582	0.3936	0.2758	0.6799	0.3317	2026-06-04 06:59:00.974770	NO:sentiment_score,Float
QBTS	"[""QBTS""]"	nBwc8XQkla	2026-06-04 07:00:00.636	D-Wave Certified as a Great Place To Work® Company	Business Wire	356.5	NYSE	2026-06-04 07:00:00.659621	0.4585	0.0237	0.5178	0.4347	positive	0.4576	0.5069	0.3749	0.7148	0.4572	2026-06-04 07:00:01.426326	NO:Float
LONA	"[""LONA""]"	nGNX6gPrqX	2026-06-04 07:00:00.804	LeonaBio Presents on ATH-1105 at 5th Annual ALS Drug Development Summit	Globe Newswire	7.2	NASDAQ	2026-06-04 07:00:00.829364	0.2388	0.0161	0.7451	0.2227	positive	0.3493	0.4301	0.3313	0.812	0.3492	2026-06-04 07:00:02.152073	NO:sentiment_score
TLRY	"[""TLRY""]"	nGNX6nfSc6	2026-06-04 07:00:00.839	Breckenridge Distillery Introduces Breckenridge Rye Whiskey, A Bold New Expression from the World’s Highest Distillery	Globe Newswire	118.73	TSX	2026-06-04 07:00:00.858324	0.3796	0.022	0.5984	0.3576	positive	0.2573	0.3411	0.2094	0.6317	0.2066	2026-06-04 07:00:02.749643	NO:sentiment_score,Float
STC	"[""STC""]"	nBw5672WPa	2026-06-04 07:00:00.855	Sangoma Announces CFO Transition: Larry Stock to Retire June 30; Adrian Back Named Interim CFO; Board Commences Search for Permanent Successor	Business Wire	29.81	TSX	2026-06-04 07:00:00.881577	0.0395	0.0616	0.8989	-0.0222	neutral	0.5028	0.5686	0.3404	0.8	0.2837	2026-06-04 07:00:02.850461	NO:sentiment_score
PLUG	"[""PLUG""]"	nGNX9Jnt2C	2026-06-04 07:00:04.227	Plug to Webcast Annual Shareholder Meeting on June 11, 2026	Globe Newswire	1330.0	NASDAQ	2026-06-04 07:00:04.238551	0.0499	0.0231	0.927	0.0269	neutral	0.1803	0.1327	0.0906	0.2352	0.0772	2026-06-04 07:00:04.595831	NO:sentiment_score,Float
AEON	"[""AEON""]"	nGNX3m83J2	2026-06-04 07:00:05.342	AEON Biopharma to Present Data Demonstrating Structural and Functional Comparability of ABP-450 to BOTOX® at the 68th Annual Scientific Meeting of the American Headache Society	Globe Newswire	9.08	NYSE AMERICAN	2026-06-04 07:00:05.365272	0.7582	0.0187	0.2231	0.7395	positive	0.3162	0.392	0.2347	0.6983	0.2664	2026-06-04 07:00:06.094336	YES
USEG	"[""USEG""]"	nGNX7QXXcS	2026-06-04 07:00:08.732	U.S. Energy Corp. Announces Corporate Rebrand to Big Sky Industrial Inc.	Globe Newswire	35.43	NASDAQ	2026-06-04 07:00:08.757794	0.1155	0.0885	0.796	0.027	neutral	0.3541	0.4551	0.2184	0.7965	0.2602	2026-06-04 07:00:09.748938	NO:sentiment_score
LIDR	"[""LIDR""]"	nBw821dlGa	2026-06-04 07:00:08.462	AEye Partners with Michigan Department of Transportation to Showcase Physical AI for Real-Time Traffic Intelligence at ITS America	Business Wire	44.24	NASDAQ	2026-06-04 07:00:08.491591	0.4308	0.0107	0.5586	0.4201	positive	0.3498	0.3494	0.1961	0.6142	0.2624	2026-06-04 07:00:09.859376	YES
ANTX	"[""ANTX""]"	nBw7vkpW7a	2026-06-04 07:00:12.106	AN2 Therapeutics Reports Positive Enabling Data Supporting Advancement of Oral AN2-502998 to Phase 2 Study for Chronic Chagas Disease	Business Wire	26.38	NASDAQ	2026-06-04 07:00:12.139466	0.9204	0.0184	0.0612	0.902	positive	0.3393	0.4562	0.3235	0.764	0.4117	2026-06-04 07:00:13.162609	YES
ZTS	"[""ZTS""]"	nACS11W2Ha	2026-06-04 07:00:13.115	ZTS SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Zoetis Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	416.84	NYSE	2026-06-04 07:00:13.151525	0.1508	0.2941	0.555	-0.1433	negative	-0.0127	-0.084	0.0119	0.3341	-0.0528	2026-06-04 07:00:13.922888	NO:sentiment_score,Float
CLIK	"[""CLIK""]"	nGNXbrSc7S	2026-06-04 07:00:13.488	Click Holdings Limited (CLIK) Reports Strong Q3 Operational Growth with 73% Revenue Increase	Globe Newswire	0.78	NASDAQ	2026-06-04 07:00:13.544293	0.9349	0.0158	0.0494	0.9191	positive	0.5459	0.7025	0.4678	0.8743	0.5767	2026-06-04 07:00:15.231327	YES
FSK	"[""FSK""]"	nACSH6ZW7a	2026-06-04 07:00:13.610	FSK SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that FS KKR Capital Corp. Stockholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	279.18	NYSE	2026-06-04 07:00:13.703324	0.137	0.329	0.534	-0.192	negative	0.0419	0.0495	0.0394	0.3341	-0.0109	2026-06-04 07:00:15.739919	NO:sentiment_score,Float
GPK	"[""GPK""]"	nACS9HjJma	2026-06-04 07:00:13.872	GPK INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Graphic Packaging Holding Company Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	291.25	NYSE	2026-06-04 07:00:13.938805	0.2003	0.2489	0.5508	-0.0486	neutral	-0.1697	-0.2664	-0.0984	-0.0471	-0.1316	2026-06-04 07:00:16.624631	NO:sentiment_score,Float
STLA	"[""STLA"", ""STLAM""]"	nACS3bFMba	2026-06-04 07:00:14.428	STLA INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Reminds Shareholders of Stellantis N.V. to Contact the Firm Today!	ACCESSWIRE	2020.0	NYSE	2026-06-04 07:00:14.552572	0.1469	0.054	0.7991	0.0929	positive	0.0098	-0.0214	0.0169	0.3341	-0.0363	2026-06-04 07:00:17.197971	NO:sentiment_score,Float
STLAM	"[""STLA"", ""STLAM""]"	nACS3bFMba	2026-06-04 07:00:14.428	STLA INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Reminds Shareholders of Stellantis N.V. to Contact the Firm Today!	ACCESSWIRE		NYSE	2026-06-04 07:00:14.555535	0.1469	0.054	0.7991	0.0929	positive	0.15	0.1657	0.1009	0.3341	0.0605	2026-06-04 07:00:17.198124	NO:sentiment_score,Float
