Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
IHG	"[""IHG""]"	nACSNWJk3a	2026-06-02 02:00:01.239	InterContinental Hotels Group PLC Announces Transaction in Own Shares - June 02	ACCESSWIRE	148.69	LSE	2026-06-02 02:00:01.264441	0.0867	0.0374	0.8759	0.0493	neutral	0.2216	0.1704	0.0641	0.2392	0.055	2026-06-02 02:00:01.566616	NO:sentiment_score,Float
BRAI	"[""BRAI""]"	nPRr29378a	2026-06-02 02:00:30.717	REG-BlackRock American Income Trust Plc: Total Voting Rights	PR Newswire	53.1	LSE	2026-06-02 02:00:30.736045	0.0747	0.0127	0.9126	0.062	positive	0.0	0.0584	0.0527	0.0665	0.0562	2026-06-02 02:00:30.876194	NO:sentiment_score,Float
CIGI	"[""CIGI""]"	nGNXHV7pm	2026-06-02 04:00:01.183	Colliers releases 2025 Global Sustainability Report	Globe Newswire	43.42	TSX	2026-06-02 04:00:01.193903	0.0934	0.0518	0.8548	0.0416	neutral	0.5577	0.6371	0.4792	0.7954	0.5414	2026-06-02 04:00:01.580625	NO:sentiment_score
STAK	"[""STAK""]"	nPn4fF3Ba	2026-06-02 04:00:01.882	STAK Inc. Accelerates New Energy Vehicle Expansion with Growing Product Portfolio and Intellectual Property	PR Newswire	6.8838	NASDAQ	2026-06-02 04:00:01.913597	0.6714	0.0118	0.3168	0.6596	positive	0.6227	0.7096	0.5614	0.8825	0.5092	2026-06-02 04:00:02.492003	NO:sentiment_score
SHEL	"[""SHEL""]"	nGNE2nBVmN	2026-06-02 05:01:28.468	REG-Transaction in Own Shares	Globe Newswire	2790.0	LSE	2026-06-02 05:01:28.484708	0.0526	0.0227	0.9248	0.0299	neutral	0.066	0.0588	0.0511	0.0766	0.0499	2026-06-02 05:01:28.900794	NO:sentiment_score,Float
PPCB	"[""PPCB""]"	nGNX2FjLGt	2026-06-02 05:30:00.898	Propanc Biopharma’s CEO Attends Keynote Address, “Rejuvenation and Health: Science for an Ageing Society,” at the University of Granada, Spain	Globe Newswire	2.04	NASDAQ	2026-06-02 05:30:00.934408	0.2573	0.0566	0.6861	0.2006	positive	0.2723	0.3599	0.2172	0.6632	0.2209	2026-06-02 05:30:01.441731	NO:sentiment_score
GENK	"[""GENK""]"	nGNXbfWjhj	2026-06-02 05:45:00.363	GEN Restaurant Group Secures Purchase Commitments from Approximately 60 to 70 Costco Warehouse Locations Following Successful Northwest Roadshow	Globe Newswire	4.82	NASDAQ	2026-06-02 05:45:00.395330	0.8952	0.0148	0.09	0.8804	positive	0.5962	0.6838	0.5228	0.844	0.6	2026-06-02 05:45:00.892673	YES
BEEM	"[""BEEM""]"	nGNXkcDQ2	2026-06-02 06:00:04.325	Beam Global Deploys Six More EV ARC™ Systems for the City of Long Beach	Globe Newswire	21.17	NASDAQ	2026-06-02 06:00:04.352532	0.5095	0.0136	0.4769	0.4958	positive	0.4187	0.5398	0.3036	0.8041	0.3733	2026-06-02 06:00:04.833666	NO:sentiment_score
MFC	"[""MFC""]"	nPNAjqKC9a	2026-06-02 06:21:57.629	Manulife Hong Kong and Alibaba Cloud Sign Strategic Partnership to Accelerate and Scale AI Innovation	PR Newswire	1670.0	TSX	2026-06-02 06:21:57.649227	0.7574	0.01	0.2326	0.7475	positive	0.6065	0.6653	0.6065	0.8273	0.6223	2026-06-02 06:21:58.226480	NO:Float
SMID	"[""SMID""]"	nBwc4pqhwa	2026-06-02 06:24:00.269	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	LSE	2026-06-02 06:24:00.286078	0.0738	0.0729	0.8534	0.0009	neutral	0.1	0.0677	0.0646	0.0749	0.065	2026-06-02 06:24:00.372897	NO:sentiment_score
