Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
MAX	"[""MAX""]"	nACSvw8rva	2026-05-30 07:18:01.166	Shareholder Investigation: The MediaAlpha ($MAX) Board is Being Investigated on Behalf of Current Shareholders For Breaching Their Fiduciary Duties	ACCESSWIRE		NYSE	2026-05-30 07:18:01.190426	0.085	0.4737	0.4413	-0.3887	negative	-0.0464	-0.0474	-0.0217	0.3043	-0.0529	2026-05-30 07:18:01.588455	NO:sentiment_score,Float
ELWT	"[""ELWT""]"	nNFC9LDfNH	2026-05-30 08:15:11.571	ROSEN, TRUSTED INVESTOR COUNSEL, Encourages Elauwit Connection, Inc. Investors to Inquire About Securities Class Action Investigation - ELWT	Newsfile Corp		NASDAQ	2026-05-30 08:15:11.596450	0.144	0.0433	0.8126	0.1007	positive	0.1087	0.0592	0.0835	0.5125	0.0247	2026-05-30 08:15:11.966068	NO:sentiment_score,Float,excluded_string
PHR	"[""PHR""]"	nACSpHblva	2026-05-30 08:45:01.132	ROSEN, LEADING INVESTOR COUNSEL, Encourages Phreesia, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - PHR	ACCESSWIRE		NYSE	2026-05-30 08:45:01.162407	0.1928	0.0324	0.7748	0.1604	positive	0.233	0.2694	0.1471	0.539	0.085	2026-05-30 08:45:01.549982	NO:sentiment_score,Float,excluded_string
VTSI	"[""VTSI""]"	nACSGGfBwa	2026-05-30 10:00:02.696	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of VirTra, Inc. - VTSI	ACCESSWIRE		NASDAQ	2026-05-30 10:00:02.713972	0.1149	0.1011	0.7841	0.0138	neutral	-0.2899	-0.4143	-0.1261	0.11	-0.1367	2026-05-30 10:00:03.200385	NO:sentiment_score,Float,excluded_string
ANGI	"[""ANGI""]"	nACSm8Kwna	2026-05-30 10:00:02.853	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Angi Inc. - ANGI	ACCESSWIRE		NASDAQ	2026-05-30 10:00:02.889719	0.0722	0.0878	0.84	-0.0156	neutral	-0.3378	-0.5005	-0.1935	0.2556	-0.1871	2026-05-30 10:00:03.801799	NO:sentiment_score,Float,excluded_string
SNBR	"[""SNBR""]"	nACS9HBg5a	2026-05-30 10:00:02.949	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sleep Number Corporation - SNBR	ACCESSWIRE		NASDAQ	2026-05-30 10:00:03.012074	0.0942	0.0692	0.8365	0.025	neutral	-0.2895	-0.4228	-0.1259	0.11	-0.1355	2026-05-30 10:00:03.876430	NO:sentiment_score,Float,excluded_string
BKKT	"[""BKKT""]"	nACSBD73ga	2026-05-30 10:00:03.013	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Bakkt, Inc. - BKKT	ACCESSWIRE		NYSE	2026-05-30 10:00:03.052808	0.1281	0.1233	0.7486	0.0048	neutral	-0.2952	-0.4371	-0.1286	0.11	-0.1378	2026-05-30 10:00:04.421956	NO:sentiment_score,Float,excluded_string
AARD	"[""AARD""]"	nACSvMbF4a	2026-05-30 10:00:03.211	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Aardvark Therapeutics, Inc. - AARD	ACCESSWIRE		NASDAQ	2026-05-30 10:00:03.270783	0.1263	0.1161	0.7576	0.0102	neutral	-0.1904	-0.3073	-0.0959	0.1336	-0.1021	2026-05-30 10:00:04.531852	NO:sentiment_score,Float,excluded_string
ENGN	"[""ENGN""]"	nACSPslPma	2026-05-30 10:00:03.490	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of enGene Therapeutics Inc. - ENGN	ACCESSWIRE		NASDAQ	2026-05-30 10:00:03.532087	0.1345	0.0716	0.7939	0.0629	positive	-0.026	-0.0865	0.0003	0.244	-0.0076	2026-05-30 10:00:04.767594	NO:sentiment_score,Float,excluded_string
PHR	"[""PHR""]"	nACSF6jwda	2026-05-30 11:00:03.036	Pomerantz LLP Highlights Legal Filing Against Phreesia, Inc.  – PHR	ACCESSWIRE		NYSE	2026-05-30 11:00:03.055633	0.1378	0.1828	0.6794	-0.0449	neutral	-0.3544	-0.4188	-0.1244	0.0035	-0.1304	2026-05-30 11:00:03.434128	NO:sentiment_score,Float,excluded_string
FCHL	"[""FCHL""]"	nACSD5SXga	2026-05-30 11:00:03.211	Pomerantz LLP Reminds Investors with Losses on their Investment in Fitness Champs Holdings Ltd.  of Class Action Lawsuit – FCHL	ACCESSWIRE		NASDAQ	2026-05-30 11:00:03.271737	0.2092	0.6589	0.1318	-0.4497	negative	-0.1939	-0.2282	-0.0597	0.11	-0.0691	2026-05-30 11:00:03.895426	NO:sentiment_score,Float,excluded_string
UHG	"[""UHG""]"	nACSmMhPja	2026-05-30 11:00:03.454	Pomerantz LLP Reminds Shareholders with Losses on their Investment in United Homes Group, Inc.  of Class Action Lawsuit – UHG	ACCESSWIRE		NASDAQ	2026-05-30 11:00:03.527727	0.2308	0.5992	0.17	-0.3685	negative	-0.2042	-0.2595	-0.0963	0.3838	-0.0916	2026-05-30 11:00:04.188419	NO:sentiment_score,Float,excluded_string
WHWK	"[""WHWK""]"	nPn4RmCcMa	2026-05-30 14:30:00.993	Whitehawk Therapeutics Presents Real‑World Analysis Confirming SEZ6 as a Highly Expressed, Clinically Relevant Target for SCLC and Other Neuroendocrine Tumors at ASCO 2026	PR Newswire		NASDAQ	2026-05-30 14:30:01.016586	0.7888	0.0137	0.1975	0.7752	positive	0.5503	0.6144	0.4747	0.8581	0.4621	2026-05-30 14:30:01.753624	NO:Float
EIKN	"[""EIKN""]"	nGNX6tn1fG	2026-05-30 14:30:00.784	Eikon Therapeutics Presents Data on Clinical-Stage Programs at the 2026 Annual Meeting of the American Society of Clinical Oncology	Globe Newswire		NASDAQ	2026-05-30 14:30:00.822974	0.1171	0.0162	0.8667	0.1009	positive	0.4409	0.536	0.4015	0.7931	0.4507	2026-05-30 14:30:01.775843	NO:sentiment_score,Float
FCHL	"[""FCHL""]"	nACS04jHja	2026-05-30 18:00:02.092	Pomerantz LLP Updates Investors on Legal Action Brought Against Fitness Champs Holdings Ltd.  – FCHL	ACCESSWIRE		NASDAQ	2026-05-30 18:00:02.114115	0.1098	0.1375	0.7526	-0.0277	neutral	-0.1939	-0.2282	-0.0597	0.11	-0.0691	2026-05-30 18:00:02.543252	NO:sentiment_score,Float,excluded_string
UHG	"[""UHG""]"	nACSSvT70a	2026-05-30 18:00:02.479	Pomerantz LLP Shares Class Action Details With Shareholders in United Homes Group, Inc.  – UHG	ACCESSWIRE		NASDAQ	2026-05-30 18:00:02.539089	0.1137	0.096	0.7903	0.0177	neutral	-0.145	-0.2147	-0.0736	0.4993	-0.0603	2026-05-30 18:00:02.991631	NO:sentiment_score,Float,excluded_string
PHR	"[""PHR""]"	nACS1bBwLa	2026-05-30 18:00:03.355	Pomerantz LLP Highlights Class Action Filing Against Phreesia, Inc.  – PHR	ACCESSWIRE		NYSE	2026-05-30 18:00:03.388746	0.1789	0.1806	0.6405	-0.0017	neutral	-0.3544	-0.4188	-0.1244	0.0035	-0.1304	2026-05-30 18:00:03.693365	NO:sentiment_score,Float,excluded_string
PHR	"[""PHR""]"	nPn8r7fqVa	2026-05-30 19:55:00.567	PHR Investors Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit	PR Newswire		NYSE	2026-05-30 19:55:00.586324	0.1267	0.0681	0.8052	0.0587	positive	0.1604	0.1548	0.1141	0.539	0.0984	2026-05-30 19:55:00.990895	NO:sentiment_score,Float
