Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
AMZN	"[""AMZN""]"	nPn7Y3L1Qa	2026-06-10 00:58:16.028	Natalia Dyer Explores Korean Beauty Culture, Unveiling Authentic Charm on Set	PR Newswire	9790.0	NASDAQ		44444.0	44444.0	2026-06-10 00:58:16.053706	0.2251	0.0254	0.7495	0.1997	positive	OK	accepted:1003	sentiment_ack	0.479	0.5621	0.4111	0.7554	0.4022	2026-06-10 00:58:16.349644
APO	"[""APO""]"	nGNX64nZcq	2026-06-10 01:00:00.472	Apollo Adds Senior Policy and Government Affairs Leaders in Europe	Globe Newswire	412.26	NYSE		44444.0	44444.0	2026-06-10 01:00:00.500976	0.1067	0.0387	0.8546	0.0679	positive	BAD	accepted:1004	sentiment_bad_released	0.2805	0.4446	0.2207	0.7483	0.228	2026-06-10 01:00:01.358895
AMAT	"[""AMAT""]"	nGNX3CFcsX	2026-06-10 01:00:00.631	Applied Materials Expands Singapore Manufacturing to Support AI Chip Demand	Globe Newswire	790.32	NASDAQ		44444.0	44444.0	2026-06-10 01:00:00.653128	0.5864	0.0127	0.4008	0.5737	positive	OK	accepted:1005	sentiment_ack	0.5705	0.6717	0.5705	0.8689	0.5814	2026-06-10 01:00:01.699111
WIHN	"[""LAES"", ""WIHN""]"	nGNE9LBRSv	2026-06-10 01:00:00.718	WISeKey’s SEALCOIN Subsidiary Accelerates Space-Based Blockchain Infrastructure Following Strategic $4 Million Investment Commitment	Globe Newswire		NASDAQ		44444.0	44444.0	2026-06-10 01:00:00.743648	0.7418	0.0106	0.2476	0.7312	positive	OK	accepted:1007	sentiment_ack	0.4624	0.5654	0.4425	0.8273	0.4349	2026-06-10 01:00:02.505942
LAES	"[""LAES"", ""WIHN""]"	nGNE9LBRSv	2026-06-10 01:00:00.718	WISeKey’s SEALCOIN Subsidiary Accelerates Space-Based Blockchain Infrastructure Following Strategic $4 Million Investment Commitment	Globe Newswire	215.52	NASDAQ		44444.0	44444.0	2026-06-10 01:00:00.740641	0.7418	0.0106	0.2476	0.7312	positive	OK	accepted:1006	sentiment_ack	0.4624	0.5654	0.4425	0.8273	0.4349	2026-06-10 01:00:02.506043
IHG	"[""IHG""]"	nACSJS2b6a	2026-06-10 02:00:00.698	InterContinental Hotels Group PLC Announces Transaction in Own Shares - June 10	ACCESSWIRE	148.6	LSE	163.35	3257.1	362.8341	2026-06-10 02:00:00.711339	0.0796	0.0176	0.9028	0.062	positive	BAD	accepted:1008	sentiment_bad_released	0.558	0.1795	0.0684	0.2422	0.0595	2026-06-10 02:00:00.971569
CALQ	"[""CMCL"", ""CALQ""]"	nACSg77MJa	2026-06-10 02:00:04.521	Caledonia Mining Corporation Plc: Motapa Exploration Results	ACCESSWIRE		NYSE AMERICAN		44444.0	44444.0	2026-06-10 02:00:04.588494	0.1154	0.0692	0.8154	0.0461	neutral	BAD	accepted:1010	sentiment_bad_released	0.4539	0.5727	0.4143	0.8387	0.4933	2026-06-10 02:00:07.148627
CMCL	"[""CMCL"", ""CALQ""]"	nACSg77MJa	2026-06-10 02:00:04.521	Caledonia Mining Corporation Plc: Motapa Exploration Results	ACCESSWIRE	14.46	NYSE AMERICAN	19.69	6758.6	1764.5	2026-06-10 02:00:04.596209	0.1154	0.0692	0.8154	0.0461	neutral	BAD	accepted:1009	sentiment_bad_released	0.4539	0.5727	0.4143	0.8387	0.4933	2026-06-10 02:00:07.148760
LKQ	"[""LKQ""]"	nPn5rdH18a	2026-06-10 02:04:00.318	LKQ Deadline: LKQ Investors Have Opportunity to Lead LKQ Corporation Securities Fraud Lawsuit	PR Newswire	253.04	NASDAQ		44444.0	44444.0	2026-06-10 02:04:00.339557	0.1687	0.0286	0.8027	0.1401	positive	BAD	accepted:1011	sentiment_bad_released	0.2887	0.3568	0.2265	0.636	0.137	2026-06-10 02:04:00.821424
ELWT	"[""ELWT""]"	nPnzRH4Ra	2026-06-10 02:08:00.252	Rosen Law Firm Encourages Elauwit Connection, Inc. Investors to Inquire About Securities Class Action Investigation - ELWT	PR Newswire	2.16	NASDAQ	6.65	10450.0	294.2143	2026-06-10 02:08:00.276833	0.1041	0.0268	0.8691	0.0773	positive	BAD	skipped:excluded_string	skipped:not_armed	0.1031	0.0558	0.0801	0.5125	0.0187	2026-06-10 02:08:00.777200
WRD	"[""WRD""]"	nGNX3TjkjM	2026-06-10 03:08:57.334	Slovak Prime Minister Meets WeRide, Signals Support for Multi-Product Autonomous Vehicle Deployment	Globe Newswire	293.53	NASDAQ		44444.0	44444.0	2026-06-10 03:08:57.361919	0.4215	0.0126	0.5659	0.4089	positive	OK	accepted:1012	sentiment_ack	0.3803	0.4971	0.3608	0.7507	0.3441	2026-06-10 03:08:57.867700
SHEL	"[""SHEL""]"	nGNE3MVQKF	2026-06-10 04:21:02.089	REG-Transaction in Own Shares	Globe Newswire	2790.0	LSE		44444.0	44444.0	2026-06-10 04:21:02.112395	0.0526	0.0227	0.9248	0.0299	neutral	BAD	accepted:1001	sentiment_bad_released	0.072	0.0632	0.0542	0.0807	0.0548	2026-06-10 04:21:02.516725
LTRX	"[""LTRX""]"	nGNXbXHtzt	2026-06-10 05:00:00.412	Lantronix and Cherry & White Launch Rapid Wi-Fi Platform That Brings Enterprise-Grade Connectivity to Critical Infrastructure in Minutes	Globe Newswire	34.72	NASDAQ	6.37	485.4	1066.8116	2026-06-10 05:00:00.445407	0.436	0.0109	0.5531	0.4252	positive	OK	accepted:1002	sentiment_ack	0.2777	0.3384	0.2659	0.7978	0.1716	2026-06-10 05:00:01.051754
PEP	"[""PEP""]"	nPreXYSTka	2026-06-10 05:00:01.614	PEPSI® GLOBAL LAUNCHES PEPSI 'HOUSE OF TREATS' A NEW AWAY FROM HOME EXPERIENTIAL BEVERAGE PLATFORM	PR Newswire	1360.0	NASDAQ		44444.0	44444.0	2026-06-10 05:00:01.650104	0.2057	0.0129	0.7813	0.1928	positive	OK	accepted:1004	sentiment_ack	0.3535	0.4568	0.3036	0.7395	0.2663	2026-06-10 05:00:02.361594
TTGT	"[""TTGT""]"	nBw8kghjba	2026-06-10 05:07:00.356	Omdia: Semiconductor Market Surpasses $300bn Quarterly Revenue in 1Q26 as Memory Market Shifts Historical Patterns	Business Wire	29.7	NASDAQ	3.71	1125.3	2242.0679	2026-06-10 05:07:00.383105	0.8258	0.0851	0.0892	0.7407	positive	OK	accepted:1008	sentiment_ack	0.5205	0.5151	0.4965	0.9084	0.6093	2026-06-10 05:07:00.746233
CMCM	"[""CMCM"", ""0C9Y""]"	nPn7RwX5ka	2026-06-10 05:22:46.383	Cheetah Mobile Announces First Quarter 2026 Unaudited Consolidated Financial Results	PR Newswire	10.19	NYSE	4.18	10450.0	380.4444	2026-06-10 05:22:46.428134	0.1069	0.1173	0.7758	-0.0104	neutral	BAD	accepted:1009	sentiment_bad_released	0.3892	0.506	0.3892	0.9252	0.3325	2026-06-10 05:22:47.445343
0C9Y	"[""CMCM"", ""0C9Y""]"	nPn7RwX5ka	2026-06-10 05:22:46.383	Cheetah Mobile Announces First Quarter 2026 Unaudited Consolidated Financial Results	PR Newswire		NYSE		44444.0	44444.0	2026-06-10 05:22:46.427358	0.1069	0.1173	0.7758	-0.0104	neutral	BAD	no_reply	sentiment_bad_released	0.4509	0.6313	0.4509	0.9252	0.3977	2026-06-10 05:22:51.404223
SMID	"[""SMID""]"	nBw446BHMa	2026-06-10 05:36:00.257	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	LSE	32.3	34200.0	612.7143	2026-06-10 05:36:00.281827	0.0738	0.0729	0.8534	0.0009	neutral	BAD	accepted:1011	sentiment_bad_released	0.78	0.4989	0.1924	0.3015	0.193	2026-06-10 05:36:00.364194
GENK	"[""GENK""]"	nGNX4ZB5NT	2026-06-10 05:45:00.465	GEN Restaurant Group Signs Distribution Agreement with United Natural Foods, Inc.	Globe Newswire	4.82	NASDAQ	2.07	17172.2	248.7541	2026-06-10 05:45:00.484170	0.7897	0.0155	0.1948	0.7743	positive	OK	accepted:1013	sentiment_ack	0.3112	0.4436	0.206	0.7887	0.3132	2026-06-10 05:45:01.013451
AMZN	"[""AMZN""]"	nBw4NMZ3ya	2026-06-10 06:00:00.670	Amazon Supply Chain Services Launches Less-Than-Truckload Freight Offering for All Businesses	Business Wire	9790.0	NASDAQ		44444.0	44444.0	2026-06-10 06:00:00.688285	0.2108	0.014	0.7752	0.1968	positive	OK	accepted:1014	sentiment_ack	0.2709	0.3231	0.2448	0.7444	0.3124	2026-06-10 06:00:01.159198
ERO	"[""ERO""]"	nGNX1YlNtF	2026-06-10 06:00:03.578	Ero Confirms High-Grade Continuity and Extends Known Mineralization at Furnas with Significant New Step-Out Intercepts	Globe Newswire	98.34	TSX	26.26	631.0	1332.4334	2026-06-10 06:00:03.639725	0.8685	0.012	0.1195	0.8565	positive	OK	accepted:1015	sentiment_ack	0.277	0.3427	0.277	0.6467	0.2963	2026-06-10 06:00:04.989664
CANG	"[""CANG""]"	nPn9tPPPwa	2026-06-10 06:00:07.347	Cango Inc. Announces May 2026 Operational and Fleet Optimization Update	PR Newswire	381.52	NYSE		44444.0	44444.0	2026-06-10 06:00:07.370993	0.2137	0.025	0.7613	0.1886	positive	OK	accepted:1016	sentiment_ack	0.1579	0.1707	0.0821	0.3257	0.0961	2026-06-10 06:00:08.060155
GPUS	"[""GPUS""]"	nPn3RNq7ta	2026-06-10 06:00:07.385	Hyperscale Data, Inc. Announces Final Results for Tender Offer	PR Newswire	456.79	NYSE AMERICAN		44444.0	44444.0	2026-06-10 06:00:07.402011	0.0904	0.036	0.8736	0.0543	positive	BAD	accepted:1017	sentiment_bad_released	0.2085	0.1442	0.0882	0.3003	0.0899	2026-06-10 06:00:08.458550
COE	"[""COE""]"	nPn5r2FHDa	2026-06-10 06:00:14.059	51Talk Online Education Group to Report First Quarter 2026 Financial Results on Friday, June 12, 2026	PR Newswire	3.77	NYSE AMERICAN	21.97	34200.0	100.0	2026-06-10 06:00:14.085714	0.1002	0.0519	0.848	0.0483	neutral	BAD	accepted:1018	sentiment_bad_released	0.1138	0.087	0.0764	0.1802	0.0642	2026-06-10 06:00:14.410202
NWSA	"[""NWSA""]"	nPn6NShLwa	2026-06-10 06:00:21.479	Five Years After the Pandemic, Realtor.com® Tallies What the Luxury Boom Left Behind	PR Newswire	364.69	NASDAQ		44444.0	44444.0	2026-06-10 06:00:21.519001	0.0974	0.0418	0.8608	0.0556	positive	BAD	accepted:1019	sentiment_bad_released	0.1702	0.1924	0.1619	0.61	0.1068	2026-06-10 06:00:22.230348
