Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
AREB	"[""AREB""]"	nACS3F58Qa	2026-05-24 06:00:02	American Rebel Light Beer Fuels Memorial Day Weekend Party as Andy Ross Opens for Brantley Gilbert, Aaron Lewis & Payton Smith at Black Oak Amphitheater	ACCESSWIRE		OTC	2026-05-24 06:00:02.828843	0.1842	0.0852	0.7306	0.099	positive	NO:sentiment_score,Float
FCHL	"[""FCHL""]"	nACSpP5qga	2026-05-24 07:00:02	FCHL SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Shareholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.38	NASDAQ	2026-05-24 07:00:02.979466	0.1242	0.3188	0.557	-0.1946	negative	NO:sentiment_score
PHR	"[""PHR""]"	nACSvXttra	2026-05-24 07:00:04	PHR INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Phreesia, Inc. Stockholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	46.89	NYSE	2026-05-24 07:00:04.383072	0.1383	0.2489	0.6128	-0.1106	negative	NO:sentiment_score
UHG	"[""UHG""]"	nACS9wHGJa	2026-05-24 11:00:02	UHG Stockholders Have Opportunity to Lead United Homes Group, Inc. Class Action Lawsuit – Contact Bronstein, Gewirtz and Grossman, LLC Today! 	ACCESSWIRE		NASDAQ	2026-05-24 11:00:02.672859	0.1777	0.0547	0.7675	0.123	positive	NO:sentiment_score,Float
DMRC	"[""DMRC""]"	nACSss19Ha	2026-05-24 11:00:03	Bronstein, Gewirtz & Grossman, LLC Initiates an Investigation into Allegations Against Digimarc Corporation (DMRC) And Encourages Stockholders to Reach Out	ACCESSWIRE	16.83	NASDAQ	2026-05-24 11:00:03.514704	0.3316	0.0673	0.601	0.2643	positive	NO:sentiment_score
ARDT	"[""ARDT""]"	nACS77dQma	2026-05-24 11:00:03	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Ardent Health, Inc. (ARDT) and Encourages Stockholders to Learn More About the Investigation	ACCESSWIRE	22.46	NYSE	2026-05-24 11:00:03.945619	0.1782	0.0895	0.7323	0.0887	positive	NO:sentiment_score
PMI	"[""PMI""]"	nACSfQg1na	2026-05-24 11:00:04	Bronstein, Gewirtz & Grossman, LLC Initiates an Investigation into Allegations Against Picard Medical, Inc. (PMI) And Encourages Investors to Reach Out	ACCESSWIRE	24.95	NYSE AMERICAN	2026-05-24 11:00:04.051314	0.3428	0.0904	0.5668	0.2524	positive	NO:sentiment_score
LAKE	"[""LAKE""]"	nACSF8ddga	2026-05-24 11:00:05	Bronstein, Gewirtz & Grossman, LLC Encourages Lakeland Industries, Inc. (LAKE) Shareholders to Inquire about Securities Investigation	ACCESSWIRE	8.45	NASDAQ	2026-05-24 11:00:05.436947	0.1583	0.0393	0.8024	0.1191	positive	NO:sentiment_score
GAIA	"[""GAIA""]"	nACSXGpc9a	2026-05-24 11:00:05	Bronstein, Gewirtz & Grossman, LLC Is Investigating Gaia, Inc. (GAIA) And Encourages Shareholders to Connect	ACCESSWIRE	17.95	NASDAQ	2026-05-24 11:00:05.842575	0.135	0.0779	0.7871	0.0571	positive	NO:sentiment_score
TLSI	"[""TLSI""]"	nACS7Z21ca	2026-05-24 11:00:10	Bronstein, Gewirtz & Grossman, LLC Encourages TriSalus Life Sciences, Inc. (TLSI) Investors to Inquire about Securities Investigation	ACCESSWIRE	41.43	NASDAQ	2026-05-24 11:00:10.558404	0.1496	0.047	0.8034	0.1026	positive	NO:sentiment_score
FTFT	"[""FTFT""]"	nACSC0J9ta	2026-05-24 11:00:11	Bronstein, Gewirtz & Grossman, LLC Is Investigating Future FinTech Group Inc. (FTFT) And Encourages Shareholders to Connect	ACCESSWIRE	2.33	NASDAQ	2026-05-24 11:00:11.211801	0.1076	0.0567	0.8357	0.0508	positive	NO:sentiment_score
PHR	"[""PHR""]"	nGNX3CzzS4	2026-05-24 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges Phreesia, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	46.89	NYSE	2026-05-24 12:00:00.579020	0.1708	0.2267	0.6025	-0.0559	negative	NO:sentiment_score
SM	"[""SM""]"	nPn9Ycm0ga	2026-05-24 20:02:12	SM Group raises renewable energy sourcing to 31% in 2025	PR Newswire	237.82	PSE MANILA	2026-05-24 20:02:12.608900	0.6514	0.01	0.3386	0.6414	positive	NO:sentiment_score,Float
