Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
IHG	"[""IHG""]"	nACS3vrZfa	2026-05-15 02:00:00	InterContinental Hotels Group PLC Announces Transaction in Own Shares - May 15	ACCESSWIRE	149.25	LSE	2026-05-15 02:00:00.523295	0.0651	0.0185	0.9164	0.0466	neutral	NO:sentiment_score,Float
BRAI	"[""BRAI""]"	nPRrF2586a	2026-05-15 02:00:26	REG-BlackRock American Income Trust Plc: Total Voting Rights	PR Newswire	17.7	LSE	2026-05-15 02:00:26.197246	0.0747	0.0127	0.9126	0.062	positive	NO:sentiment_score
SHEL	"[""SHEL""]"	nGNE5ZMbq9	2026-05-15 03:32:42	REG-Transaction in Own Shares	Globe Newswire	2800.0	LSE	2026-05-15 03:32:42.684320	0.0526	0.0227	0.9248	0.0299	neutral	NO:sentiment_score,Float
YOOV	"[""YOOV""]"	nPn2KLnqda	2026-05-15 03:50:00	CIGL, YOOV Deadline: CIGL, YOOV Investors Have Opportunity to Lead Concorde International Group Ltd. Securities Fraud Lawsuit	PR Newswire	5.91	NASDAQ	2026-05-15 03:50:00.147249	0.1251	0.025	0.8498	0.1001	positive	NO:sentiment_score
SMID	"[""SMID""]"	nBw6FpG8ka	2026-05-15 04:10:00	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	LSE	2026-05-15 04:10:00.191010	0.0738	0.0729	0.8534	0.0009	neutral	NO:sentiment_score
AMG	"[""AMG""]"	nPRrF3036a	2026-05-15 05:48:36	REG-Norges Bank: Form 8.3 - AMG Lithium B.V. (a direct wholly-owned subsidiary of AMG Critical Materials N.V.)	PR Newswire	25.59	EURONEXT AMSTERDAM	2026-05-15 05:48:36.581038	0.1262	0.0474	0.8264	0.0789	positive	NO:sentiment_score
JFIN	"[""JFIN""]"	nGNX6BYZqq	2026-05-15 06:00:00	Jiayin Group Inc. Announces Leadership Change	Globe Newswire	43.9686	NASDAQ	2026-05-15 06:00:00.373686	0.0945	0.1471	0.7585	-0.0526	negative	NO:sentiment_score
NVVE	"[""NVVE""]"	nBw5PzZPfa	2026-05-15 06:00:00	Nuvve Announces Postponement of First Quarter Ended March 31, 2026, Financial Update	Business Wire	4.22	NASDAQ	2026-05-15 06:00:00.377116	0.0474	0.3202	0.6324	-0.2728	negative	NO:sentiment_score
NYC	"[""NYC""]"	nBw2xtRB5a	2026-05-15 06:00:00	American Strategic Investment Co. Announces First Quarter 2026 Results	Business Wire	0.97	NYSE	2026-05-15 06:00:00.392139	0.0827	0.0948	0.8225	-0.0121	neutral	NO:sentiment_score
AUUD	"[""AUUD""]"	nGNX9vBx09	2026-05-15 06:00:00	Auddia Submits S-4 for Merger with Thramann Holdings, Establishing McCarthy Finney as a Unified AI Platform	Globe Newswire	0.5	NASDAQ	2026-05-15 06:00:00.412349	0.2536	0.0114	0.735	0.2422	positive	NO:sentiment_score
AZ	"[""AZ""]"	nPn3l4S9Da	2026-05-15 06:00:20	A2Z Announces Financial Results for First Quarter 2026	PR Newswire	32.61	NASDAQ	2026-05-15 06:00:20.360406	0.1372	0.102	0.7608	0.0352	neutral	NO:sentiment_score
SRG	"[""SRG""]"	nBw2vFbZ1a	2026-05-15 06:05:00	Seritage Growth Properties Reports First Quarter 2026 Operating Results	Business Wire	37.55	NYSE	2026-05-15 06:05:00.231459	0.2038	0.1116	0.6846	0.0923	positive	NO:sentiment_score
NCI	"[""NCI""]"	nGNX1n1VGD	2026-05-15 06:15:00	Neo-Concept International Announces Share Consolidation	Globe Newswire	1.02	NASDAQ	2026-05-15 06:15:00.182196	0.0941	0.0414	0.8645	0.0526	positive	NO:sentiment_score
EP	"[""EP""]"	nBw99zQzMa	2026-05-15 06:30:00	Empire Petroleum Reports Financial Results for First Quarter 2026 and Provides Operational Update	Business Wire	26.54	NYSE AMERICAN	2026-05-15 06:30:00.449986	0.0893	0.0299	0.8809	0.0594	positive	NO:sentiment_score
TMQ	"[""TMQ""]"	nPnsYz0Ha	2026-05-15 06:30:00	Trilogy Metals Announces Acceptance of Alaska's High-Grade Arctic Copper-Zinc-Lead-Gold-Silver Project into the FAST-41 Federal Permitting Program	PR Newswire	108.61	NYSE AMERICAN	2026-05-15 06:30:00.895177	0.5179	0.0132	0.4689	0.5047	positive	NO:sentiment_score,Float
SAFX	"[""SAFX""]"	nACS1HzNZa	2026-05-15 06:30:01	XCF Showcases Plant-Level Innovation Supporting Emissions-Reduction Efforts and Operational Readiness	ACCESSWIRE	32.88	NASDAQ	2026-05-15 06:30:01.203453	0.7953	0.0093	0.1954	0.7859	positive	YES
BMM	"[""BMM"", ""MOON""]"	nPn8WbXsfa	2026-05-15 06:45:00	Blue Moon Metals Announces Key Strategic Appointments	PR Newswire	46.16	NASDAQ	2026-05-15 06:45:00.144245	0.2203	0.052	0.7277	0.1683	positive	NO:sentiment_score
MOON	"[""BMM"", ""MOON""]"	nPn8WbXsfa	2026-05-15 06:45:00	Blue Moon Metals Announces Key Strategic Appointments	PR Newswire		NASDAQ	2026-05-15 06:45:00.145848	0.2203	0.052	0.7277	0.1683	positive	NO:sentiment_score,Float
NUS	"[""NUS""]"	nBw8vb56ga	2026-05-15 07:00:00	Nu Skin Reaches 900 Million Meals Purchased and Donated in its Global Fight for Child Nutrition	Business Wire	48.02	NYSE	2026-05-15 07:00:00.370455	0.5064	0.0299	0.4636	0.4765	positive	NO:sentiment_score
TRAW	"[""TRAW""]"	nGNX30twHf	2026-05-15 07:00:00	Traws Pharma Provides Business Highlights and Reports Q1 2026 Financial Results	Globe Newswire	7.74	NASDAQ	2026-05-15 07:00:00.463345	0.0787	0.067	0.8543	0.0116	neutral	NO:sentiment_score
