Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
VFS	"[""VFS""]"	nPn7kslDPa	2026-06-01 01:57:43.411	VINFAST AND AUTOBRAINS LAUNCH FIRST AGENTIC AI L4 PROGRAM FOR SOUTHEAST ASIA WITH NVIDIA	PR Newswire	49.63	NASDAQ	2026-06-01 01:57:43.428961	0.3623	0.0089	0.6288	0.3534	positive	0.384	0.48	0.3675	0.7469	0.3529	2026-06-01 01:57:43.872021	NO:sentiment_score
IHG	"[""IHG""]"	nACSwJTFqa	2026-06-01 02:00:03.522	InterContinental Hotels Group PLC Announces Transaction in Own Shares - June 01	ACCESSWIRE	148.69	LSE	2026-06-01 02:00:03.538567	0.0791	0.0264	0.8945	0.0527	positive	0.558	0.1777	0.067	0.2421	0.0589	2026-06-01 02:00:03.786488	NO:sentiment_score,Float
PHR	"[""PHR""]"	nPn29SFTha	2026-06-01 03:59:00.270	PHR Investors Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	48.93	NYSE	2026-06-01 03:59:00.286990	0.182	0.0412	0.7768	0.1408	positive	-0.1352	-0.0815	-0.0546	0.2417	-0.0471	2026-06-01 03:59:00.727421	NO:sentiment_score,excluded_string
TTGT	"[""TTGT""]"	nBw6fB1CQa	2026-06-01 04:00:00.315	Omdia: Online Video Subscription Reached 2.24 Billion in 2025 Ahead of Projected Slowdown in 2026	Business Wire	29.66	NASDAQ	2026-06-01 04:00:00.332755	0.499	0.0772	0.4238	0.4218	positive	0.322	0.3018	0.2678	0.8888	0.1882	2026-06-01 04:00:00.739675	NO:sentiment_score
PSFE	"[""PSFE""]"	nBw97bFrWa	2026-06-01 04:00:00.774	Paysafe Research: Crypto Payments to Transform US Online Sports-Betting	Business Wire	22.44	NYSE	2026-06-01 04:00:00.794315	0.1403	0.0148	0.8449	0.1254	positive	0.2509	0.3516	0.2405	0.7145	0.2516	2026-06-01 04:00:01.322885	NO:sentiment_score
THCH	"[""THCH""]"	nGNX4HGvgJ	2026-06-01 04:46:27.255	Tims China to Announce First Quarter 2026 Financial Results on June 9, 2026	Globe Newswire	9.6	NASDAQ	2026-06-01 04:46:27.277885	0.11	0.0367	0.8533	0.0733	positive	0.156	0.0851	0.0676	0.1369	0.0743	2026-06-01 04:46:27.536457	NO:sentiment_score
GPUS	"[""GPUS""]"	nPn3xB05La	2026-06-01 05:00:00.886	Hyperscale Data Subsidiary Ault Global Commodities Enters into Agreement with The Wyoming Reserve for Secure Precious Metals Storage and Vaulting	PR Newswire	456.79	NYSE AMERICAN	2026-06-01 05:00:00.914105	0.8123	0.0137	0.1741	0.7986	positive	0.4678	0.558	0.383	0.7954	0.4641	2026-06-01 05:00:01.404916	NO:Float
AIIO	"[""AIIO""]"	nPreqvTRca	2026-06-01 05:29:59.520	Robo.ai Announces Completion of 100% Acquisition of Neurovia AI, Solidifying AI Software Strategic Foundation	PR Newswire	13.79	NASDAQ	2026-06-01 05:29:59.538836	0.7737	0.0144	0.2119	0.7593	positive	0.4242	0.5418	0.3864	0.7998	0.4041	2026-06-01 05:30:00.140895	YES
SHEL	"[""SHEL""]"	nGNE4FKpgd	2026-06-01 05:34:16.311	REG-Transaction in Own Shares	Globe Newswire	2790.0	LSE	2026-06-01 05:34:16.330155	0.0526	0.0227	0.9248	0.0299	neutral	0.0794	0.0571	0.0503	0.0856	0.0512	2026-06-01 05:34:16.667718	NO:sentiment_score,Float
LANV	"[""LANV""]"	nPn911vqYa	2026-06-01 06:00:02.318	Lanvin Group Announces Appointment of New Chief Financial Officer	PR Newswire	7.83	NYSE	2026-06-01 06:00:02.330459	0.0923	0.0931	0.8146	-0.0008	neutral	0.5529	0.5114	0.2102	0.7941	0.1714	2026-06-01 06:00:02.842815	NO:sentiment_score
