Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
NTZ	"[""NTZ""]"	nBwb8svPYa	2026-05-29 06:15:00.295	Natuzzi Announces Resignation of a Board Member, Pietro Labriola	Business Wire	4.21	NYSE	2026-05-29 06:15:00.315623	0.0314	0.6559	0.3127	-0.6245	negative	0.2171	0.3423	0.1527	0.7727	0.1516	2026-05-29 06:15:00.811305	NO:sentiment_score
MAX	"[""MAX""]"	nGNXcdDXhb	2026-05-29 06:33:00.945	$MAX Securities News: BFA Law is Investigating the MediaAlpha Board– Current Shareholders are Notified to Contact the Firm	Globe Newswire	28.59	NYSE	2026-05-29 06:33:00.966647	0.1213	0.0931	0.7856	0.0282	neutral	-0.0358	-0.0494	-0.0164	0.3267	-0.0567	2026-05-29 06:33:01.520502	NO:sentiment_score
UTG	"[""UTG""]"	nACSjFLXqa	2026-05-29 06:59:01.203	Reaves Utility Income Fund Section 19(a) Notice	ACCESSWIRE	91.4	NYSE AMERICAN	2026-05-29 06:59:01.229211	0.0745	0.0223	0.9032	0.0522	positive	0.2194	0.1278	0.0551	0.2388	0.0399	2026-05-29 06:59:01.977748	NO:sentiment_score,Float
GLQ	"[""GLQ""]"	nACS4ddmka	2026-05-29 06:59:01.420	Clough Global Equity Fund Section 19(a) Notice	ACCESSWIRE	18.73	NYSE AMERICAN	2026-05-29 06:59:01.435417	0.0606	0.0321	0.9073	0.0285	neutral	0.2176	0.1318	0.0548	0.2364	0.0423	2026-05-29 06:59:02.418279	NO:sentiment_score
GLO	"[""GLO""]"	nACSxRNQ4a	2026-05-29 06:59:01.496	Clough Global Opportunities Fund Section 19(a) Notice	ACCESSWIRE	42.76	NYSE AMERICAN	2026-05-29 06:59:01.525056	0.0808	0.0294	0.8898	0.0514	positive	0.1797	0.118	0.0581	0.2321	0.046	2026-05-29 06:59:03.009133	NO:sentiment_score
GLV	"[""GLV""]"	nACSlcZZMa	2026-05-29 06:59:01.559	Clough Global Dividend and Income Fund Section 19(a) Notice	ACCESSWIRE	12.34	NYSE AMERICAN	2026-05-29 06:59:01.593426	0.0575	0.0295	0.9131	0.028	neutral	0.1624	0.1078	0.0523	0.209	0.0433	2026-05-29 06:59:03.239815	NO:sentiment_score
PMI	"[""PMI""]"	nGNX89v3ll	2026-05-29 07:00:05.627	PICARD MEDICAL, INC. Issues Letter to Shareholders	Globe Newswire	24.95	NYSE AMERICAN	2026-05-29 07:00:05.655924	0.0701	0.0546	0.8753	0.0155	neutral	0.5312	0.6624	0.5312	0.8791	0.53	2026-05-29 07:00:06.348783	NO:sentiment_score
CLIK	"[""CLIK""]"	nGNX5WhhfN	2026-05-29 07:00:09.615	Click Holdings Limited (CLIK) Acquires Hong Kong Construction HR Tech Company, Targeting Over HK$50 Million Annual Revenue in New Segment Within Two Years	Globe Newswire	0.78	NASDAQ	2026-05-29 07:00:09.636287	0.6405	0.014	0.3455	0.6264	positive	0.455	0.5466	0.4314	0.8603	0.3493	2026-05-29 07:00:10.362361	NO:sentiment_score
UHG	"[""UHG""]"	nACSWlmm4a	2026-05-29 07:00:10.008	Pomerantz LLP Reminds Shareholders with Losses on their Investment in United Homes Group, Inc.  – UHG	ACCESSWIRE		NASDAQ	2026-05-29 07:00:10.057972	0.0793	0.808	0.1127	-0.7287	negative	-0.2042	-0.2592	-0.0964	0.3838	-0.0918	2026-05-29 07:00:10.981469	NO:sentiment_score,Float,excluded_string
SEER	"[""SEER""]"	nGNX6PJs1B	2026-05-29 07:00:10.042	Seer Files ITC Complaint Against Nanomics	Globe Newswire	31.82	NASDAQ	2026-05-29 07:00:10.086611	0.1166	0.4348	0.4487	-0.3182	negative	0.1437	0.2264	0.0944	0.6543	0.0739	2026-05-29 07:00:11.136773	NO:sentiment_score
