Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	body_sentiment	BodyCompletedAt	body_duration_ms	Trigger
TECH	"[""TECH""]"	nWkr9Qj5lY	2026-05-13 01:00:11	Techstep ASA: Q1 results	Cision	155.89	2026-05-13 01:00:11.712144	0.0953	0.1009	0.8038	-0.0055	neutral	0.0301	2026-05-13 01:00:12.549449	901.42	NO:sentiment_score,Float
FLS	"[""FLS""]"	nGNE317rC6	2026-05-13 01:32:00	REG-FLSmidth Q1 2026 Interim Financial Report: Strong organic order intake growth in Service and PC&V businesses	Globe Newswire	127.01	2026-05-13 01:32:00.283471	0.9253	0.014	0.0608	0.9113	positive		2026-05-13 01:32:01.240696	1047.19	NO:Float
EQNR	"[""EQNR""]"	nGNE3rK2jG	2026-05-13 01:50:00	REG-Equinor ASA: Ex. dividend fourth quarter 2025 today – OSE	Globe Newswire	2530.0	2026-05-13 01:50:00.216249	0.088	0.0362	0.8758	0.0518	positive		2026-05-13 01:50:00.387111	248.77	NO:sentiment_score,Float
IHG	"[""IHG""]"	nACSyvV2ma	2026-05-13 02:00:01	InterContinental Hotels Group PLC Announces Transaction in Own Shares - May 13	ACCESSWIRE	149.25	2026-05-13 02:00:01.379184	0.0664	0.022	0.9116	0.0444	neutral		2026-05-13 02:00:01.830308	507.62	NO:sentiment_score,Float
BRAI	"[""BRAI""]"	nPRrD1324a	2026-05-13 02:00:25	REG-BlackRock American Income Trust Plc: Total Voting Rights	PR Newswire	17.7	2026-05-13 02:00:26.053266	0.0747	0.0127	0.9126	0.062	positive		2026-05-13 02:00:26.311152	319.42	NO:sentiment_score
ALGS	"[""ALGS""]"	nGNX9ltlB6	2026-05-13 02:05:00	Aligos Therapeutics Announces Ten Abstracts Accepted for Presentation at the EASL Congress 2026	Globe Newswire	4.84	2026-05-13 02:05:00.319691	0.0909	0.0205	0.8885	0.0704	positive	0.0781	2026-05-13 02:05:02.822327	2583.49	NO:sentiment_score
FLS	"[""FLS""]"	nGNEbNX7PP	2026-05-13 02:56:00	REG-FLSmidth: Share-based incentive programmes 2026	Globe Newswire	127.01	2026-05-13 02:56:00.218853	0.133	0.0132	0.8538	0.1198	positive		2026-05-13 02:56:00.702214	551.28	NO:sentiment_score,Float
MFG	"[""MINE"", ""MFG""]"	nPncglKvDa	2026-05-13 04:00:00	MAYFAIR GOLD ADDS VP EXPLORATION AND TECHNICAL LEADERSHIP DEPTH	PR Newswire	12120.0	2026-05-13 04:00:00.264902	0.1824	0.0273	0.7904	0.1551	positive		2026-05-13 04:00:01.933982	1735.15	NO:sentiment_score,Float
MINE	"[""MINE"", ""MFG""]"	nPncglKvDa	2026-05-13 04:00:00	MAYFAIR GOLD ADDS VP EXPLORATION AND TECHNICAL LEADERSHIP DEPTH	PR Newswire	43.49	2026-05-13 04:00:00.264950	0.1824	0.0273	0.7904	0.1551	positive	0.2636	2026-05-13 04:00:01.935679	1735.15	NO:sentiment_score
ELAB	"[""ELAB""]"	nGNX1FKZgD	2026-05-13 04:03:00	PMGC Holdings (NASDAQ: ELAB) Acquires A&B Aerospace, Inc.	Globe Newswire	4.43	2026-05-13 04:03:00.255430	0.112	0.0375	0.8505	0.0745	positive	0.0072	2026-05-13 04:03:01.898562	1709.8	NO:sentiment_score
JG	"[""JG""]"	nGNX23mGVZ	2026-05-13 05:00:00	Aurora Mobile to Report First Quarter 2026 Financial Results on May 26, 2026	Globe Newswire	4.32	2026-05-13 05:00:00.351151	0.1038	0.0694	0.8268	0.0344	neutral	0.1922	2026-05-13 05:00:00.839267	568.9	NO:sentiment_score
AIIO	"[""AIIO""]"	nPn80BJ15a	2026-05-13 05:00:01	Robo.ai Appoints Abu Dhabi Tech Executive as CTO of the Newly Acquired AI Data Processing Company, Neurovia	PR Newswire	13.53	2026-05-13 05:00:01.738676	0.0831	0.0171	0.8998	0.0661	positive		2026-05-13 05:00:03.118543	1460.73	NO:sentiment_score
