Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
MAX	"[""MAX""]"	nACSwbDfCa	2026-06-06 06:38:01.360	MediaAlpha (MAX) Board Hit with Investigation Following Deceptive Advertising Allegations and Corresponding FTC Settlement	ACCESSWIRE	28.6	NYSE	2026-06-06 06:38:01.382998	0.0488	0.8059	0.1453	-0.7571	negative	-0.0296	-0.0392	-0.0127	0.3138	-0.0532	2026-06-06 06:38:02.084134	NO:sentiment_score
INTU	"[""INTU""]"	nACS9zPyZa	2026-06-06 06:38:01.441	Intuit (INTU) Hit With Securities Fraud Investigation Following Pricing Issues and Corresponding 20% Share Decline	ACCESSWIRE	267.63	NASDAQ	2026-06-06 06:38:01.455960	0.0515	0.8652	0.0833	-0.8138	negative	-0.273	-0.3569	-0.1555	0.4457	-0.2015	2026-06-06 06:38:02.166622	NO:sentiment_score,Float
SES	"[""SES""]"	nNFC89CC3f	2026-06-06 07:17:12.790	SES AI DEADLINE: ROSEN, NATIONAL INVESTOR COUNSEL, Encourages SES AI Corporation Investors to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - SES	Newsfile Corp	235.77	NYSE	2026-06-06 07:17:12.813349	0.2122	0.0231	0.7647	0.1892	positive	0.1953	0.2351	0.138	0.4716	0.0937	2026-06-06 07:17:13.156445	NO:Float,excluded_string
GPK	"[""GPK""]"	nNFC2LPHfv	2026-06-06 07:44:12.505	GPK SHAREHOLDER NOTICE: Faruqi & Faruqi, LLP Reminds Graphic Packaging (GPK) Investors of Securities Class Action Deadline on July 6, 2026	Newsfile Corp	291.25	NYSE	2026-06-06 07:44:12.528106	0.109	0.1087	0.7823	0.0003	neutral	-0.3984	-0.5906	-0.3318	0.2697	-0.1779	2026-06-06 07:44:13.220915	NO:Float
PHR	"[""PHR""]"	nACSFRtbfa	2026-06-06 08:30:01.358	ROSEN, LEADING INVESTOR COUNSEL, Encourages Phreesia, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - PHR	ACCESSWIRE	48.96	NYSE	2026-06-06 08:30:01.383429	0.1928	0.0324	0.7748	0.1604	positive	0.2123	0.264	0.1464	0.539	0.0961	2026-06-06 08:30:01.909149	NO:excluded_string
ABT	"[""ABT""]"	nPn1btb6Ta	2026-06-06 09:00:00.401	New Abbott data show many people with diabetes may not recognize symptoms of diabetic ketoacidosis	PR Newswire	1730.0	NYSE	2026-06-06 09:00:00.429692	0.3863	0.3406	0.2731	0.0457	neutral	0.162	0.2459	0.1543	0.7643	0.1261	2026-06-06 09:00:01.291033	NO:Float
PFE	"[""PFE""]"	nBw37zF6pa	2026-06-06 09:00:00.568	Robust Phase 2b Efficacy and Favorable Tolerability Support Monthly Dosing for Pfizer’s GLP-1 RA Berobenatide	Business Wire	5690.0	NYSE	2026-06-06 09:00:00.592395	0.8403	0.0278	0.1319	0.8125	positive	0.5008	0.5742	0.4766	0.8722	0.4534	2026-06-06 09:00:02.699619	NO:Float
WISEA	"[""WSE"", ""WISEA""]"	nACSxkRvva	2026-06-06 09:00:01.354	ROSEN, A RANKED AND LEADING LAW FIRM, Encourages Wise Group plc Investors to Inquire About Securities Class Action Investigation - WSE	ACCESSWIRE		NASDAQ	2026-06-06 09:00:01.405657	0.2337	0.0188	0.7475	0.2149	positive	0.1239	0.0859	0.1	0.539	0.037	2026-06-06 09:00:02.890176	NO:Float,excluded_string
WSE	"[""WSE"", ""WISEA""]"	nACSxkRvva	2026-06-06 09:00:01.354	ROSEN, A RANKED AND LEADING LAW FIRM, Encourages Wise Group plc Investors to Inquire About Securities Class Action Investigation - WSE	ACCESSWIRE	781.47	NASDAQ	2026-06-06 09:00:01.404244	0.2337	0.0188	0.7475	0.2149	positive	0.1239	0.0859	0.1	0.539	0.037	2026-06-06 09:00:02.890356	NO:Float,excluded_string
SES	"[""SES""]"	nACSsM0Mha	2026-06-06 09:00:01.473	SES AI DEADLINE: ROSEN, RECOGNIZED INVESTOR COUNSEL, Encourages SES AI Corporation Investors to Secure Counsel Before Important Deadline in Securities Class Action First Filed by The Firm - SES	ACCESSWIRE	235.77	NYSE	2026-06-06 09:00:01.611864	0.2235	0.0217	0.7548	0.2018	positive	0.1957	0.2355	0.1356	0.4716	0.0883	2026-06-06 09:00:03.202030	NO:Float,excluded_string
USEG	"[""USEG""]"	nACSp1rJ1a	2026-06-06 09:10:00.367	New to The Street Signs One-Year National Media Series with Big Sky Industrial (NASDAQ:BSIN), Highlighting America's Emerging Helium and Carbon Infrastructure Opportunity	ACCESSWIRE	35.43	NASDAQ	2026-06-06 09:10:00.424706	0.6993	0.0147	0.286	0.6846	positive	0.4324	0.5268	0.4142	0.7933	0.4066	2026-06-06 09:10:00.991984	YES
ELWT	"[""ELWT""]"	nNFC7FP99F	2026-06-06 09:15:12.837	ROSEN, A LEADING LAW FIRM, Encourages Elauwit Connection, Inc. Investors to Inquire About Securities Class Action Investigation - ELWT	Newsfile Corp	2.16	NASDAQ	2026-06-06 09:15:12.865263	0.1253	0.0404	0.8344	0.0849	positive	0.1087	0.0595	0.0845	0.5125	0.0267	2026-06-06 09:15:13.236431	NO:excluded_string
AIFA	"[""AIFA""]"	nGNX3zzGyV	2026-06-06 09:52:17.134	All In FutureTech Alliance Provides Strategic Updates: Hainan AIFA Digital Industrial Park, Silicon Photonics Compute Center Planning, and Cross-Border Optical Network Integration	Globe Newswire	19.61	NASDAQ	2026-06-06 09:52:17.162890	0.1316	0.0135	0.8548	0.1181	positive	0.4042	0.4842	0.3285	0.7025	0.2959	2026-06-06 09:52:17.915711	YES
VTSI	"[""VTSI""]"	nACSpZJkka	2026-06-06 10:00:01.429	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of VirTra, Inc. - VTSI	ACCESSWIRE	10.85	NASDAQ	2026-06-06 10:00:01.454734	0.1149	0.1011	0.7841	0.0138	neutral	-0.2899	-0.4213	-0.1318	0.11	-0.1511	2026-06-06 10:00:01.793969	NO:excluded_string
XXI	"[""XXI""]"	nACSp5hP5a	2026-06-06 10:00:01.863	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Twenty One Capital, Inc. - XXI	ACCESSWIRE	255.93	NYSE	2026-06-06 10:00:01.937859	0.0883	0.0774	0.8343	0.0109	neutral	0.0204	0.0157	0.0238	0.1043	0.0172	2026-06-06 10:00:02.242216	NO:Float,excluded_string
GTM	"[""GTM""]"	nACS9ZgsKa	2026-06-06 10:00:02.223	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of ZoomInfo Technologies Inc. - GTM	ACCESSWIRE	230.34	NASDAQ	2026-06-06 10:00:02.280529	0.0895	0.0727	0.8378	0.0169	neutral	-0.314	-0.4337	-0.1528	0.11	-0.1696	2026-06-06 10:00:02.769653	NO:Float,excluded_string
BKKT	"[""BKKT""]"	nACS0Q96La	2026-06-06 10:00:02.277	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Bakkt, Inc. - BKKT	ACCESSWIRE	26.92	NYSE	2026-06-06 10:00:02.306690	0.1281	0.1233	0.7486	0.0048	neutral	-0.2952	-0.4445	-0.1344	0.11	-0.1523	2026-06-06 10:00:02.929906	NO:excluded_string
ENGN	"[""ENGN""]"	nACSTJNN7a	2026-06-06 10:00:02.375	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of enGene Therapeutics Inc. - ENGN	ACCESSWIRE	27.87	NASDAQ	2026-06-06 10:00:02.395355	0.1345	0.0716	0.7939	0.0629	positive	-0.026	-0.0878	0.0017	0.244	-0.0057	2026-06-06 10:00:03.339609	NO:excluded_string
