Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
IHG	"[""IHG""]"	nACS7VSrLa	2026-05-28 02:10:00	InterContinental Hotels Group PLC Announces Transaction in Own Shares - May 28	ACCESSWIRE	148.94	LSE	2026-05-28 02:10:00.809666	0.0794	0.0187	0.9019	0.0607	positive	0.1691	0.1467	0.0539	0.2457	0.0389	2026-05-28 02:10:01.094605	NO:sentiment_score,Float
PHR	"[""PHR""]"	nPn7jSfx4a	2026-05-28 02:42:00	PHR Investors Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	46.89	NYSE	2026-05-28 02:42:00.238694	0.182	0.0412	0.7768	0.1408	positive	-0.1355	-0.0815	-0.0518	0.2603	-0.0467	2026-05-28 02:42:00.601133	NO:sentiment_score
TTGT	"[""TTGT""]"	nBw1s4xlwa	2026-05-28 04:00:02	Omdia: AI Factory Market Enters Industrialization Era as Five Dynamics Redefine AI Infrastructure in 2026	Business Wire	29.16	NASDAQ	2026-05-28 04:00:02.170942	0.2547	0.0163	0.729	0.2384	positive	0.2934	0.3968	0.2586	0.7913	0.2428	2026-05-28 04:00:02.920151	NO:sentiment_score
III	"[""III""]"	nBw137nyja	2026-05-28 04:00:02	European Firms Turn to Midsize Engineering Partners	Business Wire	33.4	NASDAQ	2026-05-28 04:00:02.477352	0.0746	0.052	0.8734	0.0226	neutral	0.4663	0.5744	0.4281	0.7895	0.4484	2026-05-28 04:00:03.315283	NO:sentiment_score
GAMB	"[""GAMB""]"	nBw2pc1rja	2026-05-28 04:00:02	2026 International Casino Awards: UK, Ireland & Rest of World Winners Revealed	Business Wire	20.65	NASDAQ	2026-05-28 04:00:02.678969	0.6993	0.0218	0.2789	0.6775	positive	0.398	0.5127	0.3644	0.7259	0.2975	2026-05-28 04:00:03.606753	NO:sentiment_score
DY8Y	"[""DOYU"", ""DY8Y""]"	nGNXcbYDF7	2026-05-28 04:45:01	DouYu International Holdings Limited Reports First Quarter 2026 Unaudited Financial Results	Globe Newswire		NASDAQ	2026-05-28 04:45:01.787489	0.1084	0.126	0.7656	-0.0175	neutral	0.5447	0.6429	0.5447	0.9175	0.5192	2026-05-28 04:45:03.195323	NO:sentiment_score,Float
DOYU	"[""DOYU"", ""DY8Y""]"	nGNXcbYDF7	2026-05-28 04:45:01	DouYu International Holdings Limited Reports First Quarter 2026 Unaudited Financial Results	Globe Newswire	30.18	NASDAQ	2026-05-28 04:45:01.785882	0.1084	0.126	0.7656	-0.0175	neutral	0.5172	0.633	0.5172	0.9175	0.4614	2026-05-28 04:45:03.195439	NO:sentiment_score
SHEL	"[""SHEL""]"	nGNE54557l	2026-05-28 05:02:10	REG-Transaction in Own Shares	Globe Newswire	2790.0	LSE	2026-05-28 05:02:10.429454	0.0526	0.0227	0.9248	0.0299	neutral	0.0434	0.0559	0.0498	0.0767	0.0502	2026-05-28 05:02:10.864388	NO:sentiment_score,Float
AUUD	"[""AUUD""]"	nGNX3Y1rhR	2026-05-28 06:00:06	Auddia Announces Allowance of Foundational U.S. Patent Protecting Core AI Model Behind Commercial-Free AM/FM Radio and Discovr Radio	Globe Newswire	0.45	NASDAQ	2026-05-28 06:00:06.827656	0.4038	0.0127	0.5835	0.3911	positive	0.3574	0.4717	0.3278	0.7635	0.2831	2026-05-28 06:00:07.530396	NO:sentiment_score
ATS	"[""ATS""]"	nBw4hPYB4a	2026-05-28 06:00:07	ATS Reports Fourth Quarter Fiscal 2026 Results	Business Wire	97.54	TSX	2026-05-28 06:00:07.692105	0.0447	0.0774	0.8779	-0.0327	neutral	0.1905	0.237	0.1818	0.7045	0.1225	2026-05-28 06:00:09.518989	NO:sentiment_score,Float
