Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	body_sentiment	BodyCompletedAt	body_duration_ms	Trigger
ATOS	"[""ATOS""]"	nGNX95FPd4	2026-05-12 00:00:00	Atos and Backbase to accelerate secure, AI-native banking across regulated markets	Globe Newswire	8.52	2026-05-12 00:00:00.546798	0.3752	0.0096	0.6152	0.3656	positive		2026-05-12 00:00:01.764696	1297.33	NO:sentiment_score
LNAI	"[""LNAI""]"	nGNX6nXh0M	2026-05-12 00:12:59	Dickinson Wright and Fox Rothschild Join Forces to File Lawsuit Against ‘John Doe’ ‘Naked’ Short-Sellers of Lunai Common Stock	Globe Newswire	19.89	2026-05-12 00:12:59.237859	0.4399	0.1967	0.3635	0.2432	positive	0.0013	2026-05-12 00:13:02.182521	3021.25	NO:sentiment_score
VNTG	"[""VNTG""]"	nPNAH1ZrTa	2026-05-12 00:34:11	As CFD Brokers Expand Card-Based Payment Use Cases, Vantage Moves Early with Virtual Card Service	PR Newswire	11.37	2026-05-12 00:34:11.235301	0.4956	0.0228	0.4817	0.4728	positive		2026-05-12 00:34:12.002201	811.48	NO:sentiment_score
IHG	"[""IHG""]"	nACSTtyzKa	2026-05-12 02:00:00	InterContinental Hotels Group PLC Announces Transaction in Own Shares	ACCESSWIRE	149.25	2026-05-12 02:00:00.879584	0.1485	0.0579	0.7936	0.0906	positive		2026-05-12 02:00:01.330305	531.6	NO:sentiment_score,Float
BRAI	"[""BRAI""]"	nPRrC0566a	2026-05-12 02:00:19	REG-BlackRock American Income Trust Plc: Total Voting Rights	PR Newswire	17.7	2026-05-12 02:00:19.337591	0.0747	0.0127	0.9126	0.062	positive		2026-05-12 02:00:19.610114	354.06	NO:sentiment_score
TEL	"[""TEL""]"	nGNE8PGTky	2026-05-12 02:48:23	Telenor partners with Verdane to build a global IoT leader 	Globe Newswire	293.08	2026-05-12 02:48:23.409470	0.7641	0.0076	0.2283	0.7565	positive	0.0267	2026-05-12 02:48:24.996877	1656.9	NO:Float
III	"[""III""]"	nBw65NxlQa	2026-05-12 04:00:00	German Enterprises Scale Agentic Work with Salesforce	Business Wire	33.28	2026-05-12 04:00:00.376364	0.0451	0.0229	0.932	0.0221	neutral	0.1621	2026-05-12 04:00:01.905589	1616.35	NO:sentiment_score
SHEL	"[""SHEL""]"	nGNEbTXH01	2026-05-12 04:23:23	REG-Transaction in Own Shares	Globe Newswire	2800.0	2026-05-12 04:23:23.674128	0.0526	0.0227	0.9248	0.0299	neutral		2026-05-12 04:23:25.062101	1471.72	NO:sentiment_score,Float
TTGT	"[""TTGT""]"	nBwdKJVDa	2026-05-12 04:40:00	Omdia: Desktop Monitor Shipments Reach 133.4 Million Units in 2025 as Gaming Monitors Fuel Recovery	Business Wire	29.15	2026-05-12 04:40:00.237135	0.2182	0.0158	0.766	0.2023	positive	0.0302	2026-05-12 04:40:01.720952	1570.2	NO:sentiment_score
TDIC	"[""TDIC""]"	nGNX45g6sl	2026-05-12 05:12:31	Dreamland Limited’s Subsidiary Trendic International Limited and LinkFung Innovation Limited Enter Into MoU to Explore Development, Implementation, and Deployment of a Comprehensive AI-Powered Intelligent Image Library Platform	Globe Newswire	2.95	2026-05-12 05:12:31.238091	0.6636	0.0125	0.3239	0.6511	positive	0.7195	2026-05-12 05:12:32.419853	1258.12	NO:sentiment_score
