Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
EQNR	"[""EQNR""]"	nGNE3VWY34	2026-05-20 02:00:00	REG-Equinor ASA: Buy-back of shares to share programmes for employees	Globe Newswire	2530.0	OSLO BØRS	2026-05-20 02:00:00.253403	0.073	0.0134	0.9136	0.0596	positive	NO:sentiment_score,Float
IHG	"[""IHG""]"	nACSwx075a	2026-05-20 02:00:01	InterContinental Hotels Group PLC Announces Transaction in Own Shares - May 20	ACCESSWIRE	149.25	LSE	2026-05-20 02:00:01.031305	0.0547	0.0277	0.9176	0.027	neutral	NO:sentiment_score,Float
TAL	"[""TAL""]"	nNFC4CgqMr	2026-05-20 02:00:17	PetroTal Announces Availability of Annual General Meeting Materials	Newsfile Corp	457.31	TSX	2026-05-20 02:00:17.997388	0.1176	0.0686	0.8138	0.049	neutral	NO:sentiment_score,Float
LRE	"[""LRE""]"	nPRrK4597a	2026-05-20 02:30:21	REG-Lancashire Holdings Limited: Director/PDMR Shareholding	PR Newswire	1.3938	LSE	2026-05-20 02:30:21.571916	0.085	0.0228	0.8922	0.0622	positive	NO:sentiment_score
YOOV	"[""YOOV""]"	nPn1jYRTCa	2026-05-20 03:15:00	CIGL, YOOV Deadline: CIGL, YOOV Investors Have Opportunity to Lead Concorde International Group Ltd. Securities Fraud Lawsuit	PR Newswire	5.91	NASDAQ	2026-05-20 03:15:00.585672	0.1251	0.025	0.8498	0.1001	positive	NO:sentiment_score
PRSO	"[""PRSO""]"	nGNE74gvyJ	2026-05-20 04:05:05	REG-Prosafe SE: Operational update – April 2026	Globe Newswire	12.12	OSLO BØRS	2026-05-20 04:05:05.168309	0.092	0.0561	0.852	0.0359	neutral	NO:sentiment_score
SHEL	"[""SHEL""]"	nGNE7fr32R	2026-05-20 05:16:09	REG-Transaction in Own Shares	Globe Newswire	2800.0	LSE	2026-05-20 05:16:09.408836	0.0526	0.0227	0.9248	0.0299	neutral	NO:sentiment_score,Float
AMG	"[""AMG""]"	nBw7HknTMa	2026-05-20 05:40:00	REG-NATIXIS Form 8.3	Business Wire	25.59	EURONEXT AMSTERDAM	2026-05-20 05:40:00.183777	0.0645	0.0219	0.9136	0.0425	neutral	NO:sentiment_score
FJET	"[""FJET""]"	nBw4DHK8xa	2026-05-20 06:00:00	Starfighters Space, Inc. Files First Quarter 2026 Form 10-Q	Business Wire	29.29	NYSE AMERICAN	2026-05-20 06:00:00.513383	0.089	0.0902	0.8208	-0.0012	neutral	NO:sentiment_score
RMTI	"[""RMTI""]"	nBw5vJN9sa	2026-05-20 06:00:00	Rockwell Medical Renews Product Purchase Agreement with aQua Dialysis	Business Wire	34.15	NASDAQ	2026-05-20 06:00:00.835643	0.7996	0.0197	0.1807	0.7799	positive	YES
SPMC	"[""SPMC""]"	nNFC8C7pj5	2026-05-20 06:30:19	South Pacific Metals Drills 92 m of Mineralisation at Ontenu NE; Peak Intercepts Return 9.92 g/t Gold and 2.35% Copper	Newsfile Corp	15.08		2026-05-20 06:30:19.592334	0.286	0.0438	0.6702	0.2422	positive	NO:sentiment_score
SMID	"[""SMID""]"	nBw8N0kHRa	2026-05-20 06:31:00	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	LSE	2026-05-20 06:31:00.129920	0.0738	0.0729	0.8534	0.0009	neutral	NO:sentiment_score
AIIO	"[""AIIO""]"	nPnTZp7ta	2026-05-20 06:35:40	Neurovia AI CTO at ISNR: Solving the AI Data Cost Dilemma and Unleashing Infrastructure Capacity	PR Newswire	13.53	NASDAQ	2026-05-20 06:35:40.882527	0.2363	0.0213	0.7424	0.2151	positive	NO:sentiment_score
AMG	"[""AMG""]"	nGNE41qtnX	2026-05-20 06:56:35	REG-Man Group PLC : Form 8.3 - AMG Critical Materials N.V	Globe Newswire	25.59	EURONEXT AMSTERDAM	2026-05-20 06:56:35.204458	0.1187	0.0526	0.8286	0.0661	positive	NO:sentiment_score
CRSR	"[""CRSR""]"	nBw4xpjnya	2026-05-20 07:00:00	Corsair Gaming to Present at Baird’s 2026 Global Consumer, Technology & Services Conference	Business Wire	45.66	NASDAQ	2026-05-20 07:00:00.437694	0.1596	0.0119	0.8285	0.1477	positive	NO:sentiment_score
SACH	"[""SACH""]"	nGNX3BGWYh	2026-05-20 07:00:01	Sachem Capital Reports First Quarter 2026 Results	Globe Newswire	45.29	NYSE AMERICAN	2026-05-20 07:00:01.201051	0.0549	0.0541	0.891	0.0008	neutral	NO:sentiment_score
SKYE	"[""SKYE""]"	nGNX4v4YTY	2026-05-20 07:00:01	Skye Announces Cohort Review Committee Approved Opening of Cohort 2 Based on Favorable Safety Data from First Four Participants Treated in Cohort 1	Globe Newswire	22.31	NASDAQ	2026-05-20 07:00:01.210715	0.8329	0.0233	0.1438	0.8096	positive	YES
WM	"[""WM""]"	nGNX5d938R	2026-05-20 07:00:02	Wallbridge to Advance Fenelon to Pre-Feasibility Study with Strategic Investments from Agnico Eagle and Waratah for Approximately C$56 Million	Globe Newswire	401.96	TSX	2026-05-20 07:00:02.225226	0.6783	0.0095	0.3122	0.6687	positive	NO:sentiment_score,Float
AMPG	"[""AMPG""]"	nGNX5zlD2X	2026-05-20 07:00:02	AmpliTech Group Receives FCC and Canadian Certifications for Indoor 5G Infrastructure Supporting Next-Generation Wireless Coverage for Homes, Businesses, and Public Facilities	Globe Newswire	22.09	NASDAQ	2026-05-20 07:00:02.228567	0.7464	0.0091	0.2445	0.7374	positive	YES
