Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
PHR	"[""PHR""]"	nNFC1wSphZ	08:40:11.616	2026-06-14	08:40:11.752	08:40:11.981	PHR UPCOMING DEADLINE: Faruqi & Faruqi, LLP Reminds Phreesia (PHR) Investors of Securities Class Action Lawsuit Deadline on July 13, 2026	Newsfile Corp	49.77	NYSE	9.06	3221.0	20873.2676	2026-06-14 08:40:12.013334	0.1052	0.0908	0.804	0.0144	neutral	BAD	accepted:1000	sentiment_bad_released	-0.2164	-0.3978	-0.1525	0.2642	-0.0703	2026-06-14 08:40:12.640538
UPB	"[""UPB""]"	nGNX9GrdfW	10:00:00.140	2026-06-14	10:00:00.332	10:00:00.678	Upstream Bio Presents New Responder Analyses Demonstrating Clinically Meaningful Improvements in CRSwNP in Significant Majority of Participants Treated with Verekitug in the Phase 2 VIBRANT Trial at EAACI 2026	Globe Newswire	36.29	NASDAQ	6.1	9.9	162.723	2026-06-14 10:00:00.726595	0.8033	0.0334	0.1633	0.7699	positive	OK	accepted:1001	sentiment_ack	0.6516	0.7173	0.618	0.8448	0.5662	2026-06-14 10:00:01.704492
VTSI	"[""VTSI""]"	nACSKS21sa	10:00:01.456	2026-06-14	10:00:01.579	10:00:01.861	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of VirTra, Inc. - VTSI	ACCESSWIRE	10.85	NASDAQ	3.48	205.7	262.7993	2026-06-14 10:00:01.905639	0.1149	0.1011	0.7841	0.0138	neutral	BAD	accepted:1002	sentiment_bad_released	-0.2899	-0.42	-0.1318	0.11	-0.1512	2026-06-14 10:00:02.543970
PHR	"[""PHR""]"	nACSnBWQwa	10:00:01.595	2026-06-14	10:00:01.747	10:00:02.169	Investors Urged to Contact Levi & Korsinsky for Information Before July 13, 2026 – Phreesia, Inc. (PHR)	ACCESSWIRE	49.77	NYSE	9.06	8.3	170.6064	2026-06-14 10:00:02.245555	0.0889	0.0455	0.8656	0.0434	neutral	BAD	accepted:1003	sentiment_bad_released	-0.1508	-0.2562	-0.0812	0.5342	-0.1296	2026-06-14 10:00:03.118025
SNBR	"[""SNBR""]"	nACSwGYyQa	10:00:01.934	2026-06-14	10:00:02.080	10:00:02.209	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sleep Number Corporation - SNBR	ACCESSWIRE	18.58	NASDAQ	0.3902	1.8	898.1398	2026-06-14 10:00:02.276534	0.0942	0.0692	0.8365	0.025	neutral	BAD	accepted:1004	sentiment_bad_released	-0.2895	-0.4286	-0.1317	0.11	-0.1499	2026-06-14 10:00:03.372693
AARD	"[""AARD""]"	nACSNM5fga	10:00:02.506	2026-06-14	10:00:02.631	10:00:02.881	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Aardvark Therapeutics, Inc. - AARD	ACCESSWIRE	12.55	NASDAQ	3.9	66.3	197.4642	2026-06-14 10:00:02.990601	0.1263	0.1161	0.7576	0.0102	neutral	BAD	accepted:1005	sentiment_bad_released	-0.1588	-0.2813	-0.0755	0.1336	-0.0908	2026-06-14 10:00:03.951014
BKKT	"[""BKKT""]"	nACSx3ps6a	10:00:03.370	2026-06-14	10:00:03.479	10:00:03.550	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Bakkt, Inc. - BKKT	ACCESSWIRE	26.92	NYSE	8.43	5.4	287.9519	2026-06-14 10:00:03.624595	0.1281	0.1233	0.7486	0.0048	neutral	BAD	accepted:1006	sentiment_bad_released	-0.2952	-0.4431	-0.1345	0.11	-0.1524	2026-06-14 10:00:04.248853
BRCB	"[""BRCB""]"	nACSJZGWCa	10:00:04.054	2026-06-14	10:00:04.160	10:00:04.230	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Black Rock Coffee Bar, Inc. - BRCB	ACCESSWIRE	21.1	NASDAQ	7.37	12.2	224.1165	2026-06-14 10:00:04.273211	0.1238	0.1171	0.7591	0.0067	neutral	BAD	accepted:1007	sentiment_bad_released	-0.1921	-0.3007	-0.0677	0.11	-0.0773	2026-06-14 10:00:04.704608
TLSI	"[""TLSI""]"	nACSMxJ0ka	10:00:04.593	2026-06-14	10:00:04.694	10:00:04.767	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of TriSalus Life Sciences Inc. - TLSI	ACCESSWIRE	38.14	NASDAQ	3.77	18.3	212.6683	2026-06-14 10:00:04.792931	0.0971	0.096	0.8068	0.0011	neutral	BAD	accepted:1008	sentiment_bad_released	-0.3391	-0.4708	-0.166	0.1116	-0.1969	2026-06-14 10:00:05.182827
CRMT	"[""CRMT""]"	nACSYRpYPa	10:44:00.244	2026-06-14	10:44:00.338	10:44:00.610	ROSEN, LEADING INVESTOR COUNSEL, Encourages America’s Car-Mart, Inc. Investors to Inquire About Securities Class Action Investigation - CRMT	ACCESSWIRE	7.61	NASDAQ	2.09	4.9	371.7816	2026-06-14 10:44:00.631954	0.1546	0.0635	0.7818	0.0911	positive	BAD	accepted:1009	sentiment_bad_released	-0.1039	-0.2175	-0.0597	0.4795	-0.1207	2026-06-14 10:44:00.996094
PMI	"[""PMI""]"	nACSVg859a	11:00:02.119	2026-06-14	11:00:02.283	11:00:03.976	Bronstein, Gewirtz & Grossman, LLC Encourages Picard Medical, Inc. (PMI) Shareholders to Inquire about Securities Investigation	ACCESSWIRE	18.95	NYSE AMERICAN	0.179	3.2	952.6875	2026-06-14 11:00:04.002090	0.2326	0.0503	0.717	0.1823	positive	OK	accepted:1010	sentiment_ack	0.1126	0.1216	0.0529	0.3494	0.0277	2026-06-14 11:00:04.405019
ENGN	"[""ENGN""]"	nACSqL2vDa	11:00:03.081	2026-06-14	11:00:03.201	11:00:05.305	enGene Therapeutics Inc. (ENGN) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Investors to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	27.87	NASDAQ	1.62	28.1	440.6714	2026-06-14 11:00:05.327268	0.1471	0.0268	0.8261	0.1204	positive	BAD	accepted:1011	sentiment_bad_released	0.0779	-0.0122	0.049	0.4073	0.0259	2026-06-14 11:00:05.735100
FCHL	"[""FCHL""]"	nACSFBkcra	11:00:04.203	2026-06-14	11:00:04.334	11:00:05.738	Class Action Reminder from Pomerantz LLP for Investors of Fitness Champs Holdings Ltd.  – FCHL	ACCESSWIRE	1.27	NASDAQ	1.46	38.8	451.5278	2026-06-14 11:00:05.766267	0.1462	0.0493	0.8045	0.0968	positive	BAD	accepted:1012	sentiment_bad_released	-0.1939	-0.2316	-0.0617	0.11	-0.0749	2026-06-14 11:00:06.217541
FTFT	"[""FTFT""]"	nACSvZhRVa	11:00:05.486	2026-06-14	11:00:05.613	11:00:06.274	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Future FinTech Group Inc. (FTFT) and Encourages Investors to Learn More About the Investigation	ACCESSWIRE	2.96	NASDAQ	0.8426	28.7	339.0546	2026-06-14 11:00:06.309543	0.2006	0.05	0.7494	0.1505	positive	OK	accepted:1013	sentiment_ack	0.1427	0.1231	0.0595	0.3494	0.031	2026-06-14 11:00:06.722211
ANGI	"[""ANGI""]"	nACSQXQSfa	11:00:06.929	2026-06-14	11:00:07.061	11:00:10.431	Angi Inc. (ANGI) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Investors to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	28.63	NASDAQ	5.59	13.4	185.3452	2026-06-14 11:00:10.461755	0.1564	0.039	0.8045	0.1174	positive	BAD	accepted:1014	sentiment_bad_released	-0.1472	-0.3406	-0.0723	0.3494	-0.1587	2026-06-14 11:00:10.820232
PHR	"[""PHR""]"	nACSFyfJQa	11:00:09.572	2026-06-14	11:00:09.703	11:00:12.019	Pomerantz LLP Issues Important Reminder to Phreesia, Inc.  Investors – PHR	ACCESSWIRE	49.77	NYSE	9.06	8.3	170.6064	2026-06-14 11:00:12.045637	0.2078	0.0154	0.7768	0.1924	positive	OK	accepted:1015	sentiment_bad_released	-0.3544	-0.4243	-0.1298	0.0035	-0.1439	2026-06-14 11:00:12.715061
ARDT	"[""ARDT""]"	nACSwnM55a	11:00:11.271	2026-06-14	11:00:11.385	11:00:12.427	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Ardent Health, Inc. (ARDT) and Encourages Shareholders to Learn More About the Investigation	ACCESSWIRE	22.44	NYSE	9.35	12.6	187.7117	2026-06-14 11:00:12.512325	0.1895	0.0696	0.7408	0.1199	positive	BAD	accepted:1016	sentiment_bad_released	0.0883	0.1106	0.0525	0.3494	0.0303	2026-06-14 11:00:12.996042
PHR	"[""PHR""]"	nGNX3ZtBWF	12:00:00.121	2026-06-14	12:00:00.296	12:00:00.548	Bronstein, Gewirtz & Grossman LLC Urges Phreesia, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	49.77	NYSE	9.06	8.3	170.6064	2026-06-14 12:00:00.573720	0.1708	0.2267	0.6025	-0.0559	negative	BAD	accepted:1017	sentiment_bad_released	0.0317	0.0018	0.0264	0.332	-0.0263	2026-06-14 12:00:01.057245
PHR	"[""PHR""]"	nACS51pS4a	12:35:00.955	2026-06-14	12:35:01.071	12:35:01.328	Class Action Lawsuit Filed Against Phreesia, Inc. (PHR) – Recover Losses – Contact Levi & Korsinsky Before July 13, 2026	ACCESSWIRE	49.77	NYSE	9.06	8.3	170.6064	2026-06-14 12:35:01.356566	0.2433	0.4603	0.2964	-0.217	negative	OK	accepted:1018	sentiment_ack	-0.1508	-0.2562	-0.0812	0.5342	-0.1296	2026-06-14 12:35:01.750977
