Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
IHG	"[""IHG""]"	nACSTWjRGa	2026-06-03 02:00:02.501	InterContinental Hotels Group PLC Announces Transaction in Own Shares - June 03	ACCESSWIRE		LSE	2026-06-03 02:00:02.520265	0.0839	0.0373	0.8787	0.0466	neutral	0.558	0.1836	0.0716	0.2443	0.0648	2026-06-03 02:00:02.791937	NO:sentiment_score,Float
BRAI	"[""BRAI""]"	nPRr30160a	2026-06-03 02:00:49.760	REG-BlackRock American Income Trust Plc: Total Voting Rights	PR Newswire		LSE	2026-06-03 02:00:49.779792	0.0747	0.0127	0.9126	0.062	positive	0.0	0.0597	0.0549	0.0716	0.0585	2026-06-03 02:00:49.906266	NO:sentiment_score,Float
TTGT	"[""TTGT""]"	nBw2fCLKha	2026-06-03 04:02:00.335	Omdia: TV Shipments Increase 6% in 1Q26 as 2026 World Cup Inventory Build-Up Begins	Business Wire		NASDAQ	2026-06-03 04:02:00.358925	0.9406	0.0225	0.037	0.9181	positive	0.5337	0.5609	0.4606	0.8894	0.419	2026-06-03 04:02:00.764778	NO:Float
SHEL	"[""SHEL""]"	nGNE42RkjL	2026-06-03 04:04:25.324	REG-Transaction in Own Shares	Globe Newswire		LSE	2026-06-03 04:04:25.333537	0.0526	0.0227	0.9248	0.0299	neutral	0.0638	0.0596	0.0525	0.0752	0.0531	2026-06-03 04:04:25.674403	NO:sentiment_score,Float
FSV	"[""FSV""]"	nPRr31099a	2026-06-03 04:55:46.755	REG-Fidelity Special Values Plc: Portfolio Update	PR Newswire		LSE	2026-06-03 04:55:46.765497	0.0789	0.0461	0.875	0.0328	neutral	0.0378	0.0343	0.0328	0.0379	0.0331	2026-06-03 04:55:46.895225	NO:sentiment_score,Float
IPST	"[""IPST""]"	nGNX1jQWR	2026-06-03 05:24:32.420	IP Strategy Publishes Monthly Validator Update	Globe Newswire		NASDAQ	2026-06-03 05:24:32.444674	0.0356	0.0334	0.931	0.0022	neutral	0.4146	0.5576	0.3777	0.8843	0.3381	2026-06-03 05:24:32.955398	NO:sentiment_score,Float
GENK	"[""GENK""]"	nGNX9jbtnC	2026-06-03 05:55:00.377	GEN Restaurant Group Appoints Luke A. Hewko as Chief Financial Officer to Accelerate CPG and Multi-Channel Growth	Globe Newswire		NASDAQ	2026-06-03 05:55:00.396943	0.1699	0.0141	0.816	0.1557	positive	0.4178	0.4677	0.26	0.7159	0.2625	2026-06-03 05:55:00.847242	NO:sentiment_score,Float
TLSI	"[""TLSI""]"	nBw6xJ3s1a	2026-06-03 06:00:00.728	TLSI Investors Have Opportunity to Join TriSalus Life Sciences, Inc. Fraud Investigation with the Schall Law Firm	Business Wire		NASDAQ	2026-06-03 06:00:00.758876	0.1403	0.0219	0.8378	0.1185	positive	-0.3713	-0.4652	-0.1814	-0.1441	-0.2242	2026-06-03 06:00:01.037140	NO:sentiment_score,Float,excluded_string
FJET	"[""FJET""]"	nBw6jzS72a	2026-06-03 06:00:02.975	Starfighters Space (NYSE: FJET) Added to Membership of Russell 3000® Index	Business Wire		NYSE AMERICAN	2026-06-03 06:00:02.998116	0.2604	0.0136	0.726	0.2468	positive	0.3328	0.4733	0.2621	0.8077	0.3505	2026-06-03 06:00:03.686070	NO:sentiment_score,Float
ACON	"[""ACON"", ""ACONW""]"	nGNX2Jvn33	2026-06-03 06:00:03.463	Aclarion Adds Institute of Neuro Innovation to Support Nociscan Growth and Real-World Evidence Generation	Globe Newswire	2.2	NASDAQ	2026-06-03 06:00:03.521785	0.4021	0.0094	0.5886	0.3927	positive	0.3716	0.495	0.3483	0.8063	0.4326	2026-06-03 06:00:04.364933	NO:sentiment_score
