Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
MAX	"[""MAX""]"	nACS2k9SMa	2026-05-31 06:46:00.747	$MAX Investor Alert: MediaAlpha Deceptive Advertising Leads to Board Investigation on behalf of Shareholders	ACCESSWIRE	28.62	NYSE	2026-05-31 06:46:00.764533	0.1111	0.5114	0.3775	-0.4003	negative	-0.0296	-0.0392	-0.0131	0.3138	-0.054	2026-05-31 06:46:01.227888	NO:sentiment_score
FCHL	"[""FCHL""]"	nACSgVF0ha	2026-05-31 07:00:03.091	FCHL INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.38	NASDAQ	2026-05-31 07:00:03.122019	0.1693	0.1717	0.659	-0.0025	neutral	-0.065	-0.0881	-0.0242	0.2231	-0.0668	2026-05-31 07:00:03.518381	NO:sentiment_score
PHR	"[""PHR""]"	nACS8ng2da	2026-05-31 07:00:04.096	PHR STOCKHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Phreesia, Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	48.93	NYSE	2026-05-31 07:00:04.127013	0.1671	0.2577	0.5752	-0.0906	negative	0.0224	-0.0086	0.0207	0.3341	-0.0376	2026-05-31 07:00:04.583963	NO:sentiment_score
PHR	"[""PHR""]"	nACSj8djKa	2026-05-31 08:30:00.545	ROSEN, A RANKED AND LEADING LAW FIRM, Encourages Phreesia, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - PHR	ACCESSWIRE	48.93	NYSE	2026-05-31 08:30:00.574217	0.2323	0.0325	0.7352	0.1998	positive	0.2123	0.2625	0.146	0.539	0.0952	2026-05-31 08:30:00.901140	NO:sentiment_score,excluded_string
UHG	"[""UHG""]"	nNFC8trmbp	2026-05-31 08:33:11.297	UHG DEADLINE ALERT: Faruqi & Faruqi, LLP Reminds United Homes Group (UHG) Investors of Securities Class Action Deadline on June 9, 2026	Newsfile Corp		NASDAQ	2026-05-31 08:33:11.323403	0.0771	0.0775	0.8455	-0.0004	neutral	-0.0965	-0.2668	-0.076	0.3925	-0.0113	2026-05-31 08:33:11.927707	NO:sentiment_score,Float
VTSI	"[""VTSI""]"	nACSL5BJMa	2026-05-31 10:00:01.879	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of VirTra, Inc. - VTSI	ACCESSWIRE	10.85	NASDAQ	2026-05-31 10:00:01.909333	0.1149	0.1011	0.7841	0.0138	neutral	-0.2899	-0.4195	-0.1322	0.11	-0.152	2026-05-31 10:00:02.368789	NO:sentiment_score,excluded_string
ENGN	"[""ENGN""]"	nACS8856Fa	2026-05-31 10:00:02.309	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of enGene Therapeutics Inc. - ENGN	ACCESSWIRE	27.87	NASDAQ	2026-05-31 10:00:02.381916	0.1345	0.0716	0.7939	0.0629	positive	-0.026	-0.0876	0.0012	0.244	-0.0066	2026-05-31 10:00:03.025793	NO:sentiment_score,excluded_string
ANGI	"[""ANGI""]"	nACSX5M6ha	2026-05-31 10:00:02.288	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Angi Inc. - ANGI	ACCESSWIRE	28.53	NASDAQ	2026-05-31 10:00:02.355534	0.0722	0.0878	0.84	-0.0156	neutral	-0.3378	-0.499	-0.1918	0.2556	-0.2046	2026-05-31 10:00:03.179733	NO:sentiment_score,excluded_string
BKKT	"[""BKKT""]"	nACSkRvMCa	2026-05-31 10:00:04.072	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Bakkt, Inc. - BKKT	ACCESSWIRE	18.79	NYSE	2026-05-31 10:00:04.100663	0.1281	0.1233	0.7486	0.0048	neutral	-0.2952	-0.4426	-0.1349	0.11	-0.1532	2026-05-31 10:00:04.480500	NO:sentiment_score,excluded_string
AARD	"[""AARD""]"	nACSWF1C9a	2026-05-31 10:00:04.268	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Aardvark Therapeutics, Inc. - AARD	ACCESSWIRE	12.55	NASDAQ	2026-05-31 10:00:04.303292	0.1263	0.1161	0.7576	0.0102	neutral	-0.1588	-0.2811	-0.0759	0.1336	-0.0916	2026-05-31 10:00:04.777298	NO:sentiment_score,excluded_string
