Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
ALP	"[""ALP""]"	nGNX6pdFZW	2026-05-27 11:06:33	Alpha Compute Corp. Completes Majority Acquisition of GAMEE	Globe Newswire	19.64	NASDAQ	2026-05-27 11:06:33.581868	0.0842	0.0586	0.8572	0.0256	neutral	0.4601	0.5393	0.3484	0.8475	0.3878	2026-05-27 11:06:35.163407	NO:sentiment_score
GRCE	"[""GRCE""]"	nBw5Vwsmka	2026-05-27 11:33:00	GRCE Investors Have Opportunity to Join Grace Therapeutics, Inc. Fraud Investigation with the Schall Law Firm	Business Wire	11.25	NASDAQ	2026-05-27 11:33:00.299305	0.1572	0.0186	0.8242	0.1386	positive	-0.0984	-0.179	-0.0348	0.2425	-0.0344	2026-05-27 11:33:00.579391	NO:sentiment_score
SHEL	"[""SHEL""]"	nGNEhG7vJ	2026-05-27 11:58:23	REG-Transaction in Own Shares	Globe Newswire	2790.0	LSE	2026-05-27 11:58:23.947162	0.0526	0.0227	0.9248	0.0299	neutral	0.0481	0.0552	0.0493	0.089	0.0493	2026-05-27 11:58:24.262526	NO:sentiment_score,Float
INV	"[""INV""]"	nBw68Q5HGa	2026-05-27 12:00:03	Accelsius Names John Hewitt Chief Executive Officer; Founding CEO Josh Claman Becomes Executive Chairman	Business Wire	52.31	NASDAQ	2026-05-27 12:00:03.755747	0.0419	0.0326	0.9255	0.0093	neutral	0.3761	0.4315	0.2814	0.7181	0.2492	2026-05-27 12:00:04.322561	NO:sentiment_score,Float
PHR	"[""PHR""]"	nGNX2lpPsc	2026-05-27 12:00:06	Bronstein, Gewirtz & Grossman LLC Urges Phreesia, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	46.89	NYSE	2026-05-27 12:00:06.864495	0.1708	0.2267	0.6025	-0.0559	negative	0.0317	0.0028	0.0248	0.332	-0.0239	2026-05-27 12:00:07.230639	NO:sentiment_score
PODC	"[""PODC""]"	nGNX5d0zjJ	2026-05-27 12:25:32	PodcastOne (Nasdaq: PODC) Raises FY2026 Guidance to $68M–$75M Revenue and $7M–$10M Adjusted EBITDA*	Globe Newswire	3.43	NASDAQ	2026-05-27 12:25:32.664989	0.8921	0.0201	0.0878	0.8721	positive	0.3057	0.4379	0.2019	0.8783	0.3917	2026-05-27 12:25:33.769829	YES
PHR	"[""PHR""]"	nACScgJN2a	2026-05-27 12:30:01	PHR INVESTOR DEADLINE APPROACHING: Faruqi & Faruqi, LLP Reminds Phreesia (PHR) Investors of Securities Class Action Deadline on July 13, 2026	ACCESSWIRE	46.89	NYSE	2026-05-27 12:30:01.213394	0.0983	0.0758	0.8258	0.0225	neutral	-0.1907	-0.3564	-0.0775	0.1686	-0.0868	2026-05-27 12:30:01.747946	NO:sentiment_score
EHTH	"[""EHTH""]"	nPn1NxxSKa	2026-05-27 13:00:02	eHealth, Inc. to Present at Noble Capital Markets' Emerging Growth Virtual Equity Conference	PR Newswire	28.39	NASDAQ	2026-05-27 13:00:02.061867	0.1203	0.0191	0.8606	0.1011	positive	0.1986	0.1674	0.1001	0.2606	0.1011	2026-05-27 13:00:02.304463	NO:sentiment_score
PHR	"[""PHR""]"	nGNX7BT1Y7	2026-05-27 13:39:43	PHR INVESTOR ALERT: Class Action Lawsuit Filed on Behalf of Phreesia, Inc. Investors – Holzer & Holzer, LLC Encourages Investors With Losses to Contact the Firm	Globe Newswire	46.89	NYSE	2026-05-27 13:39:43.345163	0.1465	0.2736	0.5798	-0.1271	negative	0.0132	-0.0034	0.0233	0.0648	0.0103	2026-05-27 13:39:43.515984	NO:sentiment_score
LEE	"[""LEE""]"	nNFC98RR51	2026-05-27 13:41:52	Johnson Fistel Investigates Potential Board Fiduciary Duty Breaches at Lee Enterprises, Inc.	Newsfile Corp	5.8	NASDAQ	2026-05-27 13:41:52.590974	0.0932	0.1259	0.7808	-0.0327	neutral	0.1731	0.2416	0.0995	0.6031	0.0664	2026-05-27 13:41:52.912185	NO:sentiment_score
BP	"[""BP""]"	nBw7S1FVxa	2026-05-27 14:05:00	Securities Fraud Investigation Into BP p.l.c. (BP) Announced – Shareholders Who Lost Money Urged To Contact Glancy Prongay Wolke & Rotter LLP, a Leading Securities Fraud Law Firm	Business Wire	2570.0	LSE	2026-05-27 14:05:00.454677	0.2353	0.3133	0.4514	-0.078	negative	0.0451	0.0366	0.0388	0.4655	-0.0348	2026-05-27 14:05:00.887096	NO:sentiment_score,Float
BK	"[""BK""]"	nGNX2ZYBCJ	2026-05-27 15:28:00	Canadian Banc Corp. Announces Overnight Offering of Preferred Shares	Globe Newswire	684.48	TSX	2026-05-27 15:28:00.435356	0.1102	0.0309	0.859	0.0793	positive	0.1735	0.089	0.058	0.1735	0.0636	2026-05-27 15:28:00.824976	NO:sentiment_score,Float
TSQ	"[""TSQ""]"	nGNX4yy8l9	2026-05-27 15:30:00	Townsquare to Participate in Upcoming Investor Conference	Globe Newswire	13.07	NYSE	2026-05-27 15:30:00.450847	0.1028	0.0238	0.8734	0.0791	positive	0.1606	0.1193	0.0916	0.2345	0.0767	2026-05-27 15:30:00.883440	NO:sentiment_score
MAX	"[""MAX""]"	nBw6G9VZHa	2026-05-27 15:33:00	MAX Shareholder Alert: MediaAlpha Investors are Notified of BFA Law’s Investigation into the Company’s Board of Directors	Business Wire	28.59	NYSE	2026-05-27 15:33:00.416551	0.1423	0.0727	0.785	0.0695	positive	0.0586	0.1039	0.0427	0.5429	-0.0096	2026-05-27 15:33:00.913125	NO:sentiment_score
SCOR	"[""SCOR""]"	nBw5001Wwa	2026-05-27 16:01:03	Advaya Capital to Acquire Comscore’s Movies Division, Initiating a New Era in Film Box Office Intelligence	Business Wire	11.27	NASDAQ	2026-05-27 16:01:03.776741	0.5347	0.0343	0.4309	0.5004	positive	0.4979	0.5228	0.3893	0.7268	0.364	2026-05-27 16:01:04.337910	NO:sentiment_score
PHR	"[""PHR""]"	nBw1SM17Fa	2026-05-27 16:03:01	Phreesia Announces First Quarter Fiscal 2027 Results	Business Wire	46.89	NYSE	2026-05-27 16:03:01.963316	0.0709	0.0635	0.8657	0.0074	neutral	0.3566	0.4742	0.3434	0.9147	0.4092	2026-05-27 16:03:03.021622	NO:sentiment_score
SKIL	"[""SKIL""]"	nBw6MnVpKa	2026-05-27 16:05:04	Skillsoft to Report First Quarter Fiscal 2027 Financial Results on June 9	Business Wire	4.53	NYSE	2026-05-27 16:05:04.855945	0.1204	0.0886	0.791	0.0318	neutral	0.2985	0.2635	0.1484	0.4174	0.1394	2026-05-27 16:05:05.104904	NO:sentiment_score
