Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
FSK	"[""FSK""]"	nGNX1BCKVn	2026-05-06 21:03:23	ROSEN, A LEADING LAW FIRM, Encourages FS KKR Capital Corp. Investors to Secure Counsel Before Important Deadline in Securities Class Action – FSK	Globe Newswire	279.32	2026-05-06 21:03:23	0.3572	0.0435	0.5993	0.3137	positive	YES
SCYX	"[""SCYX""]"	nGNX89rlRT	2026-05-06 21:15:28	SCYNEXIS Announces Inducement Awards Under Nasdaq Listing Rule 5635(c)(4)	Globe Newswire	43.11	2026-05-06 21:15:28	0.1353	0.028	0.8368	0.1073	positive	YES
BLDP	"[""BLDP""]"	nPnbQrtkha	2026-05-06 21:30:00	Wrightbus Selects Ballard's FCmove®‑SC Engine to Power Its Next‑Generation Hydrogen Bus Platform	PR Newswire	296.84	2026-05-06 21:30:00	0.2883	0.0089	0.7027	0.2794	positive	YES
YOOV	"[""YOOV""]"	nNFCbntRbQ	2026-05-06 21:34:16	YOOV IMPORTANT DEADLINE: ROSEN, A LONGSTANDING LAW FIRM, Encourages Concorde International Group Ltd. with Losses in Excess of $100K Investors to Secure Counsel Before Important May 20 Deadline in Securities Class Action - YOOV	Newsfile Corp	5.91	2026-05-06 21:34:16	0.2556	0.0634	0.681	0.1922	positive	YES
MUX	"[""MUX""]"	nGNX70QfqR	2026-05-06 22:04:23	McEwen Generates Strong Q1 Results & Advances Multi-Asset Growth Strategy; Net Income $33.4M ($0.56 per Share) vs. Net Loss $6.3M ($0.12 per Share) in Q1 2025; Internally Funding Key Projects to Double Production by 2030	Globe Newswire	50.87	2026-05-06 22:04:23	0.9163	0.0155	0.0683	0.9008	positive	YES
GEMI	"[""GEMI""]"	nGNX5d2Vl4	2026-05-06 22:41:18	Gemini Space Shareholder Alert: ClaimsFiler Reminds Investors With Losses In Excess Of $100,000 Of Lead Plaintiff Deadline In Class Action Lawsuit Against Gemini Space Station, Inc. - GEMI	Globe Newswire	38.2	2026-05-06 22:41:18	0.2607	0.2643	0.475	-0.0037	neutral	NO:sentiment_score
DRVN	"[""DRVN""]"	nACSzpnD4a	2026-05-06 22:45:00	Driven Brands 48 Hour Deadline Alert: Kahn Swick & Foti, LLC Reminds Investors With Losses In Excess Of $100,000 of Deadline in Class Action Lawsuit Against Driven Brands Holdings Inc. - DRVN	ACCESSWIRE	58.87	2026-05-06 22:45:00	0.3197	0.3423	0.338	-0.0225	neutral	NO:sentiment_score
VRDN	"[""VRDN""]"	nBw54WWwZa	2026-05-06 23:13:00	Viridian Therapeutics Announces Pricing of Upsized Concurrent Public Offerings of 1.75% Convertible Senior Notes Due 2032 and Common Stock with Aggregate Gross Proceeds of $350.0 Million	Business Wire	93.49	2026-05-06 23:13:00	0.2435	0.0179	0.7387	0.2256	positive	YES
SES	"[""SES""]"	nGNXc3nLyQ	2026-05-06 23:16:00	SES AI Shareholder Alert: ClaimsFiler Reminds Investors With Losses In Excess Of $100,000 Of Lead Plaintiff Deadline In Class Action Lawsuit Against SES AI Corporation - SES	Globe Newswire	236.25	2026-05-06 23:16:00	0.2653	0.2763	0.4584	-0.011	neutral	NO:sentiment_score
HOVR	"[""HOVR""]"	nACSdYs0sa	2026-05-06 23:40:00	New Horizon Aircraft Ltd. Announces Pricing of $20 Million Offering of Common Shares	ACCESSWIRE	37.33	2026-05-06 23:40:00	0.1457	0.0148	0.8395	0.1309	positive	YES
