Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
MAX	"[""MAX""]"	nACStDfpla	06:36:01.146	2026-06-13	06:36:01.272	$MAX Legal News: BFA Law Announces an Investigation Into The Board on Behalf of MediaAlpha Shareholders Following FTC Settlement	ACCESSWIRE	28.09	NYSE	9.45	4953.6	8575.8704	2026-06-13 06:36:01.616376	0.1273	0.1712	0.7014	-0.0439	neutral	BAD	accepted:1000	sentiment_bad_released	-0.0296	-0.039	-0.0123	0.3138	-0.0523	2026-06-13 06:36:02.070292
PHR	"[""PHR""]"	nGNX6Bhrjd	08:10:00.102	2026-06-13	08:10:00.298	PHR EQUITY ACTION REMINDER: Faruqi & Faruqi, LLP Reminds Phreesia (PHR) Investors of Securities Class Action Lawsuit Deadline on July 13, 2026	Globe Newswire	49.77	NYSE	9.06	2990.6	20873.2676	2026-06-13 08:10:00.630729	0.157	0.1382	0.7048	0.0189	neutral	BAD	accepted:1001	sentiment_bad_released	-0.1557	-0.3031	-0.0969	0.223	-0.0429	2026-06-13 08:10:01.232405
BRCB	"[""BRCB""]"	nACScd35ca	10:00:01.024	2026-06-13	10:00:01.159	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Black Rock Coffee Bar, Inc. - BRCB	ACCESSWIRE	21.1	NASDAQ	7.37	15.4	224.1165	2026-06-13 10:00:01.637132	0.1238	0.1171	0.7591	0.0067	neutral	BAD	accepted:1003	sentiment_bad_released	-0.1921	-0.3013	-0.0672	0.11	-0.0764	2026-06-13 10:00:02.342181
TLSI	"[""TLSI""]"	nACSXSmywa	10:00:00.799	2026-06-13	10:00:00.924	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of TriSalus Life Sciences Inc. - TLSI	ACCESSWIRE	38.14	NASDAQ	3.77	26.9	212.6683	2026-06-13 10:00:01.644882	0.0971	0.096	0.8068	0.0011	neutral	BAD	accepted:1002	sentiment_bad_released	-0.3391	-0.4716	-0.1656	0.1116	-0.1959	2026-06-13 10:00:02.449968
AARD	"[""AARD""]"	nACSfKG4ca	10:00:01.129	2026-06-13	10:00:01.282	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Aardvark Therapeutics, Inc. - AARD	ACCESSWIRE	12.55	NASDAQ	3.9	68.9	197.5039	2026-06-13 10:00:01.970429	0.1263	0.1161	0.7576	0.0102	neutral	BAD	accepted:1004	sentiment_bad_released	-0.1904	-0.3073	-0.0925	0.1336	-0.1086	2026-06-13 10:00:02.843775
SNBR	"[""SNBR""]"	nACSd2gcTa	10:00:02.135	2026-06-13	10:00:02.271	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Sleep Number Corporation - SNBR	ACCESSWIRE	18.58	NASDAQ	0.4047	2.2	898.1398	2026-06-13 10:00:03.122106	0.0942	0.0692	0.8365	0.025	neutral	BAD	accepted:1005	sentiment_bad_released	-0.2895	-0.4294	-0.1312	0.11	-0.1489	2026-06-13 10:00:03.522456
VTSI	"[""VTSI""]"	nACSN4mzpa	10:00:02.304	2026-06-13	10:00:02.450	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of VirTra, Inc. - VTSI	ACCESSWIRE	10.85	NASDAQ	3.48	132.7	262.7993	2026-06-13 10:00:03.228942	0.1149	0.1011	0.7841	0.0138	neutral	BAD	accepted:1006	sentiment_bad_released	-0.2899	-0.4208	-0.1314	0.11	-0.1502	2026-06-13 10:00:03.684884
BKKT	"[""BKKT""]"	nACSc4B5ma	10:00:04.231	2026-06-13	10:00:04.334	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Bakkt, Inc. - BKKT	ACCESSWIRE	26.92	NYSE	8.43	5.5	287.9519	2026-06-13 10:00:04.911980	0.1281	0.1233	0.7486	0.0048	neutral	BAD	accepted:1007	sentiment_bad_released	-0.2952	-0.4439	-0.134	0.11	-0.1514	2026-06-13 10:00:05.228857
PHR	"[""PHR""]"	nACSLLCbMa	11:00:00.912	2026-06-13	11:00:01.045	Pomerantz LLP Issues Alert Regarding Shareholder Class Action Involving Phreesia, Inc.  – PHR	ACCESSWIRE	49.77	NYSE	9.06	8.4	170.6064	2026-06-13 11:00:01.511323	0.1659	0.1606	0.6735	0.0053	neutral	BAD	accepted:1009	sentiment_bad_released	-0.3544	-0.425	-0.1293	0.0035	-0.1429	2026-06-13 11:00:02.202187
FCHL	"[""FCHL""]"	nACSvfc3La	11:00:00.837	2026-06-13	11:00:00.975	Class Action Lawsuit Reminder from Pomerantz LLP for Shareholders of Fitness Champs Holdings Ltd.  – FCHL	ACCESSWIRE	1.27	NASDAQ	1.46	39.1	451.5278	2026-06-13 11:00:01.482601	0.2436	0.1797	0.5767	0.0638	positive	OK	accepted:1008	sentiment_bad_released	-0.1939	-0.2321	-0.0612	0.11	-0.0739	2026-06-13 11:00:02.299190
PHR	"[""PHR""]"	nACSBjCDva	15:45:00.350	2026-06-13	15:45:00.471	PHREESIA DEADLINE: ROSEN, RECOGNIZED INVESTOR COUNSEL, Encourages Phreesia, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - PHR	ACCESSWIRE	49.77	NYSE	9.06	8.4	170.6064	2026-06-13 15:45:00.776746	0.2088	0.0408	0.7504	0.168	positive	OK	accepted:1010	sentiment_bad_released	0.2123	0.2639	0.1468	0.539	0.0969	2026-06-13 15:45:01.178046
FCHL	"[""FCHL""]"	nACS2cPtLa	18:00:00.912	2026-06-13	18:00:01.100	Pomerantz LLP Notifies Shareholders of Class Action Lawsuit Against Fitness Champs Holdings Ltd.  – FCHL	ACCESSWIRE	1.27	NASDAQ	1.46	123.3	353.437	2026-06-13 18:00:01.406855	0.0873	0.2188	0.6939	-0.1314	negative	BAD	accepted:1011	sentiment_bad_released	-0.1939	-0.2321	-0.0612	0.11	-0.0739	2026-06-13 18:00:01.990251
PHR	"[""PHR""]"	nACSKcVbsa	18:00:02.231	2026-06-13	18:00:02.388	Pomerantz LLP Issues Alert Regarding Shareholder Class Action Against Phreesia, Inc.  – PHR	ACCESSWIRE	49.77	NYSE	9.06	2990.6	20873.2676	2026-06-13 18:00:02.862005	0.1273	0.1057	0.767	0.0215	neutral	BAD	accepted:1012	sentiment_bad_released	-0.3544	-0.425	-0.1293	0.0035	-0.1429	2026-06-13 18:00:03.209603
PHR	"[""PHR""]"	nACSMS2xYa	19:25:00.694	2026-06-13	19:25:00.804	Class Action Lawsuit Alert: Levi & Korsinsky Reminds Phreesia, Inc. (PHR) Investors of July 13, 2026 Deadline	ACCESSWIRE	49.77	NYSE	9.06	2990.6	20873.2676	2026-06-13 19:25:01.272038	0.1036	0.0669	0.8296	0.0367	neutral	BAD	accepted:1013	sentiment_bad_released	-0.1508	-0.2561	-0.0811	0.5342	-0.1293	2026-06-13 19:25:01.721812
CRMT	"[""CRMT""]"	nNFC8g6DZn	22:03:12.571	2026-06-13	22:03:12.653	ROSEN, HIGHLY RECOGNIZED INVESTOR COUNSEL, Encourages America's Car-Mart, Inc. Investors to Inquire About Securities Class Action Investigation - CRMT	Newsfile Corp	7.61	NASDAQ	2.09	918.3	385.5573	2026-06-13 22:03:12.920161	0.1889	0.0324	0.7787	0.1564	positive	BAD	accepted:1014	sentiment_bad_released	-0.0623	-0.1823	-0.0292	0.4795	-0.0841	2026-06-13 22:03:13.279515
