DateTime	Open	High	Low	Close	Volume	AverageVolume	VolumeRatio
2026-04-20 07:45:20-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:45:25-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:45:30-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:45:35-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:45:40-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:45:45-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:45:50-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:45:55-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:00-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:05-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:10-04:00	2.4	2.4	2.4	2.4	136	6.8	20.0
2026-04-20 07:46:15-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:20-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:25-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:30-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:35-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:40-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:45-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:50-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:46:55-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:00-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:05-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:10-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:15-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:20-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:25-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:30-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:35-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:40-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:45-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:50-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
2026-04-20 07:47:55-04:00	2.4	2.4	2.4	2.4	0	6.8	0.0
